model,seed,fold,test_year,sequence_window,rmse_technical,mae_technical,mape_technical,r2_technical,direction_accuracy_technical,runtime_seconds_technical,rmse_news,mae_news,mape_news,r2_news,direction_accuracy_news,runtime_seconds_news,rmse_delta_news_minus_technical,mae_delta_news_minus_technical,mape_delta_news_minus_technical,r2_delta_news_minus_technical,runtime_seconds_delta_news_minus_technical,direction_accuracy_delta_pp
lstm,456,fold_1,2022,5,13.900996721425951,11.036405221243607,1.1237680056191037,0.6098955449345385,0.5103734439834025,4.136760800000047,14.998811808902971,11.882565773013212,1.209967539101069,0.5458464217476031,0.5186721991701245,4.294349900000043,1.09781508747702,0.8461605517696054,0.08619953348196518,-0.06404912318693534,0.1575890999999956,0.8298755186722073
lstm,456,fold_2,2023,5,16.78008900954786,13.679574444024189,1.4728411138754973,0.8577742338234859,0.51440329218107,4.829617100000178,13.779870335358469,11.516196756676901,1.2345565335010544,0.9040864371907209,0.5390946502057613,4.549421300000176,-3.0002186741893926,-2.163377687347287,-0.2382845803744429,0.04631220336723496,-0.2801958000000013,2.4691358024691357
lstm,789,fold_1,2022,5,14.62137873031585,11.325837057734939,1.156655975547774,0.5684156565920293,0.5062240663900415,4.067282100000057,22.82819620867518,19.23264522505991,1.9633267829306498,-0.05203992482172448,0.5020746887966805,4.348443599999882,8.20681747835933,7.90680816732497,0.8066708073828757,-0.6204555814137538,0.28116149999982554,-0.4149377593360981
lstm,789,fold_2,2023,5,16.717091063522922,13.449150593290613,1.4412320122572686,0.8588401533044702,0.5349794238683128,4.825493099999903,23.860794536149662,19.51744697888204,2.0636070207541315,0.7124194143953353,0.5555555555555556,4.710467000000108,7.14370347262674,6.068296385591429,0.6223750084968629,-0.14642073890913487,-0.1150260999997954,2.0576131687242816
lstm,2025,fold_1,2022,5,34.24102462137252,30.675265339227177,3.129713184630319,-1.366914292468096,0.44398340248962653,4.320468699999992,16.326250825162173,12.73516417344082,1.2995274194048767,0.46190128235250105,0.4854771784232365,3.980156000000079,-17.914773796210344,-17.94010116578636,-1.830185765225442,1.828815574820597,-0.3403126999999131,4.149377593360998
lstm,2025,fold_2,2023,5,14.4006442117407,11.52628135689002,1.2339654057070875,0.8952501034034601,0.5432098765432098,4.632649399999991,12.812389210494478,10.25685215429023,1.1086124074638453,0.9170817729081261,0.5679012345679012,4.716866099999834,-1.588255001246221,-1.26942920259979,-0.1253529982432422,0.021831669504665974,0.0842166999998426,2.4691358024691357
lstm_attention,42,fold_1,2022,20,32.764982198896824,27.566385234688315,2.8061329039392637,-1.1672494476084632,0.4896265560165975,6.795214700000088,32.26801090077232,26.688673808411426,2.7152592138598206,-1.102003419598601,0.4854771784232365,7.043480399999908,-0.4969712981245067,-0.877711426276889,-0.09087369007944313,0.06524602800986212,0.24826569999981984,-0.4149377593360981
lstm_attention,42,fold_2,2023,20,33.05385106506197,27.683364570812902,3.016471611229008,0.4481336759110832,0.5061728395061729,8.150561299999936,35.433930646176876,29.36055412840939,3.1964353798291247,0.36579680847296836,0.5061728395061729,8.206619600000067,2.380079581114906,1.6771895575964884,0.17996376860011676,-0.08233686743811486,0.05605830000013157,0.0
lstm_attention,123,fold_1,2022,20,138.43980765294324,136.63905630030578,13.842459246784811,-37.69109337691769,0.44398340248962653,7.1205675999999585,39.17339781755469,31.103251650402658,3.160093364048844,-2.0979293854382504,0.48132780082987553,7.4845066000000315,-99.26640983538856,-105.53580464990313,-10.682365882735967,35.59316399147944,0.36393900000007307,3.7344398340249
lstm_attention,123,fold_2,2023,20,65.35307613958203,55.820407213733034,5.838414751894326,-1.1573560674699443,0.5596707818930041,8.000207000000046,31.753607610937227,26.113462895257953,2.879021294769868,0.4906973813759701,0.49794238683127573,8.870318600000019,-33.599468528644806,-29.70694431847508,-2.959393457124458,1.6480534488459144,0.8701115999999729,-6.172839506172839
