stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds
window_selection,lstm_cnn,full_ta,5,42,fold_1,2012,2017,2018,1386,245,45.83303781769205,41.12865609605458,3.5845567069703854,-0.1352211568745416,0.5102040816326531,7.98037890001433
window_selection,lstm_cnn,full_ta,5,42,fold_2,2012,2018,2019,1631,244,26.691404780271352,23.775285229426288,2.183174268476509,-0.1654178468301792,0.4754098360655737,8.281417200050782
window_selection,lstm_cnn,full_ta,5,42,fold_3,2012,2019,2020,1875,243,48.76406486917357,33.927647295440146,4.010922008040396,0.7029828085609944,0.4814814814814814,8.904396599973552
window_selection,lstm_cnn,full_ta,5,42,fold_4,2012,2020,2021,2118,241,27.78482486349564,21.353762906517712,2.2304667683533497,-0.6658207406282795,0.4605809128630705,10.493727199966088
window_selection,lstm_cnn,full_ta,10,42,fold_1,2012,2017,2018,1386,245,24.776843400243827,21.021137107377157,1.8388478008834876,0.6682467839322459,0.5102040816326531,9.416119000001345
window_selection,lstm_cnn,full_ta,10,42,fold_2,2012,2018,2019,1631,244,34.4632095730371,31.03696139630221,2.849624672447982,-0.942899083888298,0.4754098360655737,9.665452400047798
window_selection,lstm_cnn,full_ta,10,42,fold_3,2012,2019,2020,1875,243,64.51308691630445,48.10535016909036,5.703923005935841,0.4801507367865273,0.4691358024691358,10.361837800010107
window_selection,lstm_cnn,full_ta,10,42,fold_4,2012,2020,2021,2118,241,29.61212057289821,22.58475118648956,2.3543586182335376,-0.8921342884268249,0.4730290456431535,11.03053639997961
window_selection,lstm_cnn,full_ta,20,42,fold_1,2012,2017,2018,1386,245,42.37478830976551,37.225190817176085,3.237645409061416,0.0296279629679699,0.5061224489795918,10.803172699990682
window_selection,lstm_cnn,full_ta,20,42,fold_2,2012,2018,2019,1631,244,39.90371157570063,34.88053543735954,3.2040321062004025,-1.604746042783126,0.4795081967213114,11.966917100013234
window_selection,lstm_cnn,full_ta,20,42,fold_3,2012,2019,2020,1875,243,68.52810379550091,49.304936771477074,5.854712823583435,0.4134308524076684,0.48559670781893,11.205873099970631
window_selection,lstm_cnn,full_ta,20,42,fold_4,2012,2020,2021,2118,241,33.93563416492661,27.543452904629987,2.868898311388363,-1.4849913226564264,0.4564315352697095,13.899101300048642
window_selection,lstm_cnn,full_ta_vmd,1,42,fold_1,2012,2017,2018,1386,245,39.93796719787767,36.02904990632194,3.1343252389778176,0.138024143312555,0.5020408163265306,6.908729999966454
window_selection,lstm_cnn,full_ta_vmd,1,42,fold_2,2012,2018,2019,1631,244,36.649273357109976,35.40099103360621,3.248547789709751,-1.1971997357630015,0.4795081967213114,7.124806999985594
window_selection,lstm_cnn,full_ta_vmd,1,42,fold_3,2012,2019,2020,1875,243,34.21608012488918,25.55342617165877,3.0100328733988024,0.8537680420379683,0.4279835390946502,7.537099800014403
window_selection,lstm_cnn,full_ta_vmd,1,42,fold_4,2012,2020,2021,2118,241,19.31854659783217,15.172855603190357,1.5853567149823775,0.1946923264220179,0.4522821576763485,7.875258899992332
window_selection,lstm_cnn,full_ta_vmd,3,42,fold_1,2012,2017,2018,1386,245,51.97266953417564,48.22356126311848,4.208508929775014,-0.4597323708488923,0.5020408163265306,7.728832799999509
window_selection,lstm_cnn,full_ta_vmd,3,42,fold_2,2012,2018,2019,1631,244,32.386883129840285,30.139973210237898,2.7636169797334875,-0.7158412709765511,0.4795081967213114,7.8163012999575585
window_selection,lstm_cnn,full_ta_vmd,3,42,fold_3,2012,2019,2020,1875,243,45.27540537882836,34.90116926233386,4.05940150228339,0.7439607882412811,0.4238683127572016,8.675724299973808
window_selection,lstm_cnn,full_ta_vmd,3,42,fold_4,2012,2020,2021,2118,241,23.51924826622969,18.219867589503384,1.904510899724064,-0.1936027501194672,0.4605809128630705,9.132762999972329
window_selection,lstm_cnn,full_ta_vmd,5,42,fold_1,2012,2017,2018,1386,245,32.54918370839063,27.915524680225225,2.4256321016910927,0.4274632178208206,0.5102040816326531,7.904714599950239
window_selection,lstm_cnn,full_ta_vmd,5,42,fold_2,2012,2018,2019,1631,244,33.57249650990097,30.833306613869706,2.8261798071652784,-0.8437671634940569,0.4795081967213114,8.457675199955702
window_selection,lstm_cnn,full_ta_vmd,5,42,fold_3,2012,2019,2020,1875,243,54.76283927358486,41.2838116948304,4.864685595550831,0.6254121384243465,0.4156378600823045,9.200197600002866
window_selection,lstm_cnn,full_ta_vmd,5,42,fold_4,2012,2020,2021,2118,241,27.46961626121869,21.33344642324565,2.2289327665780787,-0.6282388876237139,0.4522821576763485,10.158284900011497
window_selection,lstm_cnn,full_ta_vmd,10,42,fold_1,2012,2017,2018,1386,245,31.170998263516942,26.648567927623283,2.321422934342535,0.4749210456240115,0.5183673469387755,8.810995899955742
window_selection,lstm_cnn,full_ta_vmd,10,42,fold_2,2012,2018,2019,1631,244,32.564175907985,29.14213139341001,2.6753870405898645,-0.7346784594700522,0.4836065573770491,9.78670629998669
window_selection,lstm_cnn,full_ta_vmd,10,42,fold_3,2012,2019,2020,1875,243,60.11498093374756,45.07079294942492,5.28162134252951,0.5486149054489353,0.419753086419753,10.463915099971928
window_selection,lstm_cnn,full_ta_vmd,10,42,fold_4,2012,2020,2021,2118,241,31.23787715448971,24.37574661282581,2.5401985367995943,-1.1056004421622356,0.4605809128630705,11.034442999982277
window_selection,lstm_cnn,full_ta_vmd,20,42,fold_1,2012,2017,2018,1386,245,47.53286831326385,41.68588490554751,3.6196156440058345,-0.2209875453197336,0.5346938775510204,10.64661250001518
window_selection,lstm_cnn,full_ta_vmd,20,42,fold_2,2012,2018,2019,1631,244,48.14406555387946,44.14005534687722,4.054842132435833,-2.7916158051767432,0.4754098360655737,11.88000499998452
window_selection,lstm_cnn,full_ta_vmd,20,42,fold_3,2012,2019,2020,1875,243,67.1298637733723,49.27024029237296,5.814969291081168,0.4371232396028914,0.4444444444444444,11.065886700002013
window_selection,lstm_cnn,full_ta_vmd,20,42,fold_4,2012,2020,2021,2118,241,31.51078128100574,25.372098596818205,2.6428171835305294,-1.142551551856748,0.4564315352697095,14.120114099991042
window_selection,lstm_attention,full_ta,1,42,fold_1,2012,2017,2018,1386,245,37.66714552163989,33.749609117955586,2.936535628916354,0.2332591364933476,0.5020408163265306,8.663077700010035
window_selection,lstm_attention,full_ta,1,42,fold_2,2012,2018,2019,1631,244,46.87882082254056,45.84206583934959,4.200502662403764,-2.5949442476278306,0.4795081967213114,9.232446699985305
window_selection,lstm_attention,full_ta,1,42,fold_3,2012,2019,2020,1875,243,29.870048138300245,21.42680456504378,2.4627693383843416,0.8885567852450482,0.4814814814814814,10.205389500013553
window_selection,lstm_attention,full_ta,1,42,fold_4,2012,2020,2021,2118,241,22.42977506254302,19.112579952710863,1.995359472905304,-0.0855823515497269,0.4688796680497925,10.05294349999167
window_selection,lstm_attention,full_ta,3,42,fold_1,2012,2017,2018,1386,245,32.78214511693293,28.619346733248967,2.493004936111625,0.4192383549659118,0.5265306122448979,9.678639699995983
window_selection,lstm_attention,full_ta,3,42,fold_2,2012,2018,2019,1631,244,43.73185358806747,41.88343076414246,3.83923481068981,-2.128488568010643,0.4795081967213114,10.317681599990465
window_selection,lstm_attention,full_ta,3,42,fold_3,2012,2019,2020,1875,243,36.06060097500583,26.746237194239008,3.118985317919708,0.8375769329638879,0.4403292181069959,10.77801740000723
window_selection,lstm_attention,full_ta,3,42,fold_4,2012,2020,2021,2118,241,23.615198576803568,18.939496724635223,1.9762511877284328,-0.2033615797749719,0.4605809128630705,11.033088300027885
window_selection,lstm_attention,full_ta,5,42,fold_1,2012,2017,2018,1386,245,28.391518300126705,24.09870133491439,2.1047599912831005,0.5643874072946272,0.5265306122448979,9.809745599981396
window_selection,lstm_attention,full_ta,5,42,fold_2,2012,2018,2019,1631,244,43.03074985245458,40.36889115808181,3.700688577304074,-2.0289815623484744,0.4795081967213114,10.05079680000199
window_selection,lstm_attention,full_ta,5,42,fold_3,2012,2019,2020,1875,243,42.25745176012772,31.639107105495487,3.681589033717883,0.7769571040759904,0.4444444444444444,10.629715299990494
window_selection,lstm_attention,full_ta,5,42,fold_4,2012,2020,2021,2118,241,26.42939793356013,21.13628805934145,2.202512098155545,-0.5072575836324491,0.4730290456431535,12.855794000031892
window_selection,lstm_attention,full_ta,10,42,fold_1,2012,2017,2018,1386,245,38.901609768833474,33.12079085575804,2.889955212051781,0.1821788536520427,0.5306122448979592,11.400101600040216
window_selection,lstm_attention,full_ta,10,42,fold_2,2012,2018,2019,1631,244,47.62856833013834,43.49572860185959,3.993612271715224,-2.710853898506366,0.4795081967213114,12.729438699956518
window_selection,lstm_attention,full_ta,10,42,fold_3,2012,2019,2020,1875,243,62.830202978172,47.13267576505273,5.55655270164866,0.5069184960329443,0.4691358024691358,14.212436800007708
window_selection,lstm_attention,full_ta,10,42,fold_4,2012,2020,2021,2118,241,36.946664196640526,27.326281390031824,2.8444724518045734,-1.9455296889800369,0.4979253112033195,14.73528989998158
window_selection,lstm_attention,full_ta,20,42,fold_1,2012,2017,2018,1386,245,48.59231291293499,42.701851666032056,3.723166128183234,-0.2760224999763427,0.5306122448979592,13.506920300016644
window_selection,lstm_attention,full_ta,20,42,fold_2,2012,2018,2019,1631,244,51.95475335857795,45.68289854700191,4.210017199333926,-3.415596458884184,0.4959016393442623,14.730375999992248
window_selection,lstm_attention,full_ta,20,42,fold_3,2012,2019,2020,1875,243,90.3541219537121,67.48284986792439,8.044301064486895,-0.0197124603810248,0.4609053497942387,14.319015000015495
window_selection,lstm_attention,full_ta,20,42,fold_4,2012,2020,2021,2118,241,44.71479034938005,33.12104940630092,3.454589867854771,-3.3143496156902525,0.5062240663900415,17.477856000012252
window_selection,lstm_attention,full_ta_vmd,1,42,fold_1,2012,2017,2018,1386,245,34.55444675900213,30.408214625100715,2.640980337155113,0.3547454467539133,0.5020408163265306,8.673574100015685
window_selection,lstm_attention,full_ta_vmd,1,42,fold_2,2012,2018,2019,1631,244,49.30146894024968,48.235474615986085,4.418944319948673,-2.9761111838575536,0.4795081967213114,9.506385600019712
window_selection,lstm_attention,full_ta_vmd,1,42,fold_3,2012,2019,2020,1875,243,30.43564381283081,24.19925199288497,2.8603172634781924,0.8842964264966422,0.4362139917695473,9.965514899988191
window_selection,lstm_attention,full_ta_vmd,1,42,fold_4,2012,2020,2021,2118,241,21.745963700793187,18.48509072477884,1.930023639510705,-0.0203995426673486,0.4688796680497925,10.461087200033944
window_selection,lstm_attention,full_ta_vmd,3,42,fold_1,2012,2017,2018,1386,245,29.070443981984365,24.98000295447331,2.177001597269172,0.5433047242483282,0.5346938775510204,9.49010619998444
window_selection,lstm_attention,full_ta_vmd,3,42,fold_2,2012,2018,2019,1631,244,40.160496341341,38.164748676543695,3.4987136422915786,-1.6383775605811215,0.4795081967213114,10.988039699965157
window_selection,lstm_attention,full_ta_vmd,3,42,fold_3,2012,2019,2020,1875,243,42.8312585562601,32.451728281534976,3.753077117013304,0.7708586548083459,0.4279835390946502,11.08036160003394
window_selection,lstm_attention,full_ta_vmd,3,42,fold_4,2012,2020,2021,2118,241,22.70099467993986,18.476866808135465,1.9274151974465972,-0.1119946853699409,0.4730290456431535,11.59740690002218
window_selection,lstm_attention,full_ta_vmd,5,42,fold_1,2012,2017,2018,1386,245,39.0637622681998,34.23081359117858,2.986607076430716,0.1753468420912498,0.5346938775510204,10.741754300019238
window_selection,lstm_attention,full_ta_vmd,5,42,fold_2,2012,2018,2019,1631,244,44.46797508288024,41.88423581740636,3.8390890157035167,-2.234696277382477,0.4795081967213114,11.06083769997349
