model,fold,arm,test_year,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm_cnn,fold_3,Regime-SHAP,2024,5,244,16.985609012562414,13.419906819200916,1.5679872609899683,0.851224068610578,0.5081967213114754,0.5137627027390808,0.028567199272434254,1.0,244,0,0,48,79,41,76,0.6352459016393442
lstm_cnn,fold_3,Regime-Spearman,2024,5,244,19.27621134307393,14.758198397122452,1.730206749014155,0.8083919326744,0.5040983606557377,0.5118446732619961,0.025555620786712873,1.0,244,0,0,41,86,35,82,0.6885245901639344
lstm_cnn,fold_4,Global-All,2025,5,234,52.46043245176061,39.46052699607256,5.207089296089489,-0.062386248797213995,0.5427350427350427,0.5486842105263158,0.109721780438439,1.0,234,0,0,38,82,25,89,0.7307692307692307
lstm_cnn,fold_4,Global3-All,2025,5,234,58.667120898265296,44.042908316688,5.812745097497042,-0.3286428639913703,0.5384615384615384,0.5434210526315789,0.09404801560780579,1.0,234,0,0,42,78,30,84,0.6923076923076923
lstm_cnn,fold_4,Global-SHAP,2025,5,234,52.46043245176061,39.46052699607256,5.207089296089489,-0.062386248797213995,0.5427350427350427,0.5486842105263158,0.109721780438439,1.0,234,0,0,38,82,25,89,0.7307692307692307
lstm_cnn,fold_4,Global-Spearman,2025,5,234,52.46043245176061,39.46052699607256,5.207089296089489,-0.062386248797213995,0.5427350427350427,0.5486842105263158,0.109721780438439,1.0,234,0,0,38,82,25,89,0.7307692307692307
lstm_cnn,fold_4,Regime-All,2025,5,234,22.735955156750304,18.242465324382014,2.3318712287087524,0.8004530399399865,0.5170940170940171,0.5243421052631578,0.05894141362458967,1.0,234,0,0,29,91,22,92,0.782051282051282
lstm_cnn,fold_4,Regime-SHAP,2025,5,234,25.755290182332473,19.71606935266503,2.5642976507216337,0.743934185493502,0.5042735042735043,0.5114035087719299,0.02742042485535409,1.0,234,0,0,28,92,24,90,0.7777777777777778
lstm_cnn,fold_4,Regime-Spearman,2025,5,234,25.271143251695143,20.29875899920863,2.604128222465252,0.7534707314213506,0.5341880341880342,0.5410087719298246,0.0966811812535703,1.0,234,0,0,33,87,22,92,0.7649572649572649
lstm_cnn_attention,fold_1,Global-All,2022,5,241,31.375187921318354,24.121148632682708,2.447674349786713,-0.9872920704092729,0.45,0.46265195699529194,-0.07652471570400234,1.0,240,1,0,62,45,87,46,0.37916666666666665
lstm_cnn_attention,fold_1,Global3-All,2022,5,241,30.67348255865171,23.489224372064427,2.3832507658265105,-0.8993946147034775,0.44583333333333336,0.45797905979903025,-0.08591889816758894,1.0,240,1,0,61,46,87,46,0.38333333333333336
lstm_cnn_attention,fold_1,Global-SHAP,2022,5,241,31.375187921318354,24.121148632682708,2.447674349786713,-0.9872920704092729,0.45,0.46265195699529194,-0.07652471570400234,1.0,240,1,0,62,45,87,46,0.37916666666666665
lstm_cnn_attention,fold_1,Global-Spearman,2022,5,241,31.375187921318354,24.121148632682708,2.447674349786713,-0.9872920704092729,0.45,0.46265195699529194,-0.07652471570400234,1.0,240,1,0,62,45,87,46,0.37916666666666665
lstm_cnn_attention,fold_1,Regime-All,2022,5,241,21.283205204693108,16.933705451379666,1.7157968607575549,0.0855434121577694,0.5458333333333333,0.5573396107090155,0.11635514253862707,1.0,240,1,0,71,36,73,60,0.4
lstm_cnn_attention,fold_1,Regime-SHAP,2022,5,241,17.34115957140395,14.305858299655041,1.4573500962836052,0.3929208779107831,0.5541666666666667,0.5520694259012016,0.10365560626310455,1.0,240,1,0,57,50,57,76,0.525
lstm_cnn_attention,fold_1,Regime-Spearman,2022,5,241,18.34722263298743,14.645342988572173,1.4873188889862075,0.3204370545406767,0.5666666666666667,0.581617595390345,0.16797630489046317,1.0,240,1,0,77,30,74,59,0.37083333333333335
