model,fold,test_year,base_seed,arm,window,models_in_arm,unique_fits_executed_when_reached,identical_fits_reused_when_reached,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
cnn,fold_2,2023,2025,Regime-All,20,3,3,0,10.468991400004596,0.6653191000077641,36051,243,19.78440747326385,15.20931916609712,1.6442992894464998,0.8022867123973019,0.5619834710743802,0.5547560307017544,0.1131035706732356,1.0,242,1,0,87,41,65,49,0.371900826446281
cnn,fold_2,2023,2025,Regime-SHAP,20,3,2,1,10.349973500007764,0.6626134999969508,23187,243,19.274292256033768,14.657577979633338,1.5767783663578523,0.812350832762208,0.5619834710743802,0.5513980263157895,0.1105536303326202,1.0,242,1,0,94,34,72,42,0.3140495867768595
cnn,fold_2,2023,2025,Regime-Spearman,20,3,2,1,10.60768260002078,0.6750528000120539,23187,243,22.087216441536818,16.72321842177904,1.8133763826790144,0.7535823930593867,0.5661157024793388,0.5567434210526316,0.1200459394103869,1.0,242,1,0,92,36,69,45,0.3347107438016529
cnn,fold_2,2023,42,Global-All,20,1,1,0,5.73136269999668,0.2408661999943433,12017,243,18.105056779679032,14.692364034358365,1.5699353235635698,0.8344269900405147,0.5495867768595041,0.5435169956140351,0.088966363766439,1.0,242,1,0,83,45,64,50,0.3925619834710744
cnn,fold_2,2023,42,Global3-All,20,3,3,0,17.13148209999781,0.5994056999916211,36051,243,19.70012834983693,16.292718096230754,1.7572151565076768,0.8039675927790632,0.5578512396694215,0.5638020833333333,0.1299727769175572,1.0,242,1,0,59,69,38,76,0.5991735537190083
cnn,fold_2,2023,42,Global-SHAP,20,1,0,1,5.73136269999668,0.2408661999943433,12017,243,18.105056779679032,14.692364034358365,1.5699353235635698,0.8344269900405147,0.5495867768595041,0.5435169956140351,0.088966363766439,1.0,242,1,0,83,45,64,50,0.3925619834710744
cnn,fold_2,2023,42,Global-Spearman,20,1,0,1,5.73136269999668,0.2408661999943433,12017,243,18.105056779679032,14.692364034358365,1.5699353235635698,0.8344269900405147,0.5495867768595041,0.5435169956140351,0.088966363766439,1.0,242,1,0,83,45,64,50,0.3925619834710744
cnn,fold_2,2023,42,Regime-All,20,3,3,0,9.570068700006232,0.5510784000070998,36051,243,18.83188030823552,14.386477909068503,1.5515121520632331,0.820866367765705,0.5454545454545454,0.5391310307017544,0.0801519160862713,1.0,242,1,0,83,45,65,49,0.3884297520661157
cnn,fold_2,2023,42,Regime-SHAP,20,3,2,1,9.434497800000829,0.5884505999856628,23187,243,14.886171306124371,11.92118671319122,1.2864293483777245,0.8880676075580864,0.5165289256198347,0.5237801535087719,0.0490109239817197,1.0,242,1,0,51,77,40,74,0.6239669421487604
cnn,fold_2,2023,42,Regime-Spearman,20,3,2,1,9.43289109999023,0.5602826999820536,23187,243,19.38906816020053,15.47016736440697,1.6637235238953951,0.8101093258512311,0.5247933884297521,0.5239172149122807,0.0477804322981834,1.0,242,1,0,69,59,56,58,0.4834710743801653
