protocol_id,market,stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds,training_sequences,feature_count,roc_auc,nrmse_percent,nmae_percent,fit_seconds,inference_seconds,total_model_seconds,trainable_parameters
set100-same-exchange-robustness-v1,SET100,,lstm,,5,123,fold_2,,,2023,2578,243,37.21263259179461,29.664808173557276,1.4259072694528898,0.8835907039673444,0.46502057613168724,0.4807065217391304,-0.04765744705203909,1.0,243,0,0,24,104,26,89,0.7942386831275721,,2574.0,122.0,0.5092391304347827,1.7906509634800771,1.4274538950287763,5.585884699998132,0.3152719000026991,5.9011566000008315,9041.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,456,fold_2,,,2023,2578,243,36.16378317816661,29.45901899768238,1.4198572532871714,0.8900602902066401,0.4609053497942387,0.478125,-0.057237774159183324,1.0,243,0,0,20,108,23,92,0.823045267489712,,2574.0,122.0,0.5112771739130435,1.7401809192437383,1.4175514355576502,5.7328866999996535,0.36530409999977564,6.098190799999429,9041.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,789,fold_2,,,2023,2578,243,26.219026300239904,20.645412803655283,0.9956010396512532,0.9422116903618745,0.5555555555555556,0.5547214673913043,0.10936124154131224,1.0,243,0,0,73,55,53,62,0.48148148148148145,,2574.0,122.0,0.5378396739130434,1.261644808123206,0.9934456595382305,5.684988600001816,0.31588339999871096,6.000872000000527,9041.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,2025,fold_2,,,2023,2578,243,34.81278528122633,27.838023028010607,1.3461436034831022,0.8981210604790254,0.4403292181069959,0.457710597826087,-0.11168446612271461,1.0,243,0,0,17,111,25,90,0.8271604938271605,,2574.0,122.0,0.5264945652173914,1.67517165982496,1.3395500206421649,5.830359299998236,0.3196032000014384,6.149962499999674,9041.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,42,fold_3,,,2024,2821,244,31.90055726919307,25.230227015142958,1.3232209279792895,0.8603706716485472,0.48360655737704916,0.49257142857142855,-0.021715287765501908,1.0,244,0,0,16,109,17,102,0.8647540983606558,,2817.0,122.0,0.5153613445378151,1.6812684239073137,1.3297192162074767,5.880776099998911,0.33103440000195405,6.211810500000865,9041.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,123,fold_3,,,2024,2821,244,37.26350871164208,31.53284411291108,1.684545691143894,0.809476917143198,0.5,0.5089747899159663,0.02623521191578737,1.0,244,0,0,18,107,15,104,0.8647540983606558,,2817.0,122.0,0.5421176470588236,1.9639142988069715,1.66188868350042,5.858680299999833,0.2986224000014772,6.15730270000131,9041.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,456,fold_3,,,2024,2821,244,29.93710801265437,23.717578514891258,1.2628727595365599,0.8770298230587307,0.5409836065573771,0.5473613445378152,0.11057848509446495,1.0,244,0,0,36,89,23,96,0.7581967213114754,,2817.0,122.0,0.5421848739495798,1.5777879358046583,1.249997469076748,5.864677400000801,0.301148499998817,6.165825899999618,9041.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,789,fold_3,,,2024,2821,244,21.132266729424696,16.702928172156952,0.8819707419847441,0.9387265580740249,0.5327868852459017,0.5335126050420168,0.06711551017224902,1.0,244,0,0,63,62,52,67,0.5286885245901639,,2817.0,122.0,0.5567731092436975,1.1137426997891293,0.8803014156043842,5.8978868999984115,0.3166486999980407,6.214535599996452,9041.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,2025,fold_3,,,2024,2821,244,25.713929160487396,20.410618865089276,1.0845336143292317,0.9092770850749008,0.5040983606557377,0.5091428571428571,0.02004056425297711,1.0,244,0,0,38,87,34,85,0.7049180327868853,,2817.0,122.0,0.5170420168067228,1.3552119728600127,1.0757093903002388,5.920446099997207,0.3826976999989711,6.303143799996178,9041.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,42,fold_4,,,2025,3065,234,36.740983055935324,29.729085303736376,1.7512895833299063,0.8887986714006587,0.5512820512820513,0.5512820512820513,0.10320313742306722,1.0,234,0,0,71,46,59,58,0.4444444444444444,,3061.0,122.0,0.5785667324128861,2.1408966937306366,1.7323134859376994,6.62427949999983,0.3062724999981583,6.930551999997988,9041.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,123,fold_4,,,2025,3065,234,61.61705980395321,49.114872970685425,2.968844498310059,0.6872405981856031,0.5299145299145299,0.5299145299145299,0.07146951217578908,1.0,234,0,0,30,87,23,94,0.7735042735042735,,3061.0,122.0,0.5424793629921834,3.590425422500392,2.861923128073575,6.384624400001485,0.3076707999971404,6.692295199998625,9041.0
