stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds,news_start_year
track_b_fusion,lstm_attention,technical_vmd,20,456,fold_4,2019,2024,2025,1456,234,61.083038424584984,47.47168833631734,6.2429397280698575,-0.440323251539406,0.5213675213675214,12.72472310000012,2019
track_b_fusion,lstm_attention,technical_vmd,20,789,fold_1,2019,2021,2022,728,241,35.14120110955922,29.973323372181994,3.0534153346090775,-1.4929997274897597,0.4854771784232365,8.433839099999204,2019
track_b_fusion,lstm_attention,technical_vmd,20,789,fold_2,2019,2022,2023,969,243,23.94803209636318,19.23396181565743,2.0805330743597668,0.710312720883727,0.48148148148148145,9.898246600001585,2019
track_b_fusion,lstm_attention,technical_vmd,20,789,fold_3,2019,2023,2024,1212,244,22.835004117314526,18.591604762287407,2.1997201040640255,0.7311112573266566,0.5409836065573771,12.531333200000518,2019
track_b_fusion,lstm_attention,technical_vmd,20,789,fold_4,2019,2024,2025,1456,234,29.746406549896783,23.528072649990634,3.031531865755981,0.6584237026689878,0.5256410256410257,12.879361499999504,2019
track_b_fusion,lstm_attention,technical_vmd,20,2025,fold_1,2019,2021,2022,728,241,30.80737389982259,25.862133158781717,2.630659972446718,-0.9160127170329508,0.45643153526970953,9.337883199999851,2019
track_b_fusion,lstm_attention,technical_vmd,20,2025,fold_2,2019,2022,2023,969,243,29.002687834319087,23.697581730227395,2.576860393689098,0.5751200298290389,0.4691358024691358,9.517125500000475,2019
track_b_fusion,lstm_attention,technical_vmd,20,2025,fold_3,2019,2023,2024,1212,244,26.225810157175875,21.313477622964335,2.4976557033386637,0.6453268940780451,0.5614754098360656,13.541364499998963,2019
track_b_fusion,lstm_attention,technical_vmd,20,2025,fold_4,2019,2024,2025,1456,234,29.675307827686765,22.256211092074707,2.902695338559619,0.6600545964668864,0.5042735042735043,13.37894039999992,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,42,fold_1,2019,2021,2022,728,241,32.755682269952004,27.186481744417005,2.767210099203561,-1.1660193291034995,0.4854771784232365,8.551788699999634,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,42,fold_2,2019,2022,2023,969,243,34.91328281485104,28.77817242210292,3.1304445653372848,0.3842971916923368,0.49382716049382713,9.69247599999835,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,42,fold_3,2019,2023,2024,1212,244,29.453614745068304,22.792340105136883,2.6820743952612145,0.5526498001138609,0.5286885245901639,13.271892799999478,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,42,fold_4,2019,2024,2025,1456,234,34.95644766377584,28.962711600484248,3.715304778367718,0.5282919444977277,0.4829059829059829,12.415874700000131,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,123,fold_1,2019,2021,2022,728,241,40.744001059974686,32.80486342995,3.3326869046946115,-2.351323695209194,0.4605809128630705,8.689112000000023,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,123,fold_2,2019,2022,2023,969,243,32.06386730760746,27.085959576167173,2.967389700935342,0.48069612082624125,0.49794238683127573,9.541727300000275,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,123,fold_3,2019,2023,2024,1212,244,47.508043475219246,39.865716426611904,4.748377455055292,-0.16387066572714115,0.5327868852459017,11.52929740000036,2019
