worker,fit_seconds,inference_seconds,trainable_parameters,training_sequences,prediction_sequences,features,final_training_loss,phase,split,feature_mode,shap_seconds
lstm_price,4.484966199990595,0.0544546000019181,9050,468,1,122,0.6510714292526245,shap_mask_fit,final_train,,0.9325805999978912
cnn_trend,3.821850500011351,0.3234920999966562,2633,468,240,30,0.6592690348625183,worker_fit,final_train,shap,
lstm_price,4.278203800000483,0.0479028999980073,3162,468,240,30,0.709583580493927,worker_fit,final_train,shap,
cnn_trend,4.39283539999451,0.3258832999999868,9993,468,240,122,0.684188961982727,worker_fit,final_train,all_features,
lstm_price,4.4922416000044905,0.1031300999893574,9050,468,240,122,0.606487512588501,worker_fit,final_train,all_features,
debate_leader,3.308788800000912,0.0180973000096855,50,211,240,9,0.7134560942649841,leader_fit,oof_to_inner_validation,leader_no_disagreement_shap,0.0
debate_leader,3.114824999996926,0.0231819000036921,50,211,240,9,0.6943732500076294,leader_fit,oof_to_inner_validation,pit_tldn_all_features,0.0
debate_leader,3.272720599998138,0.0164594000088982,50,211,240,9,0.6885688900947571,leader_fit,oof_to_inner_validation,pit_tldn,0.0
cnn_trend,3.3746962000004714,0.2764803000027314,2633,237,71,30,0.6492258310317993,worker_fit,crossfit_1,shap,
lstm_price,3.957797800001572,0.0606817999941995,3162,237,71,30,0.7386340498924255,worker_fit,crossfit_1,shap,
cnn_trend,3.33412070000486,0.2846809000038774,9993,237,71,122,0.6408824920654297,worker_fit,crossfit_1,all_features,
lstm_price,3.9012051000026986,0.0457636999926762,9050,237,71,122,0.6796786189079285,worker_fit,crossfit_1,all_features,
cnn_trend,3.327523600004497,0.3025976000062655,2633,308,70,30,0.6449185609817505,worker_fit,crossfit_2,shap,
lstm_price,3.733194000000367,0.0481250000011641,3162,308,70,30,0.6832507252693176,worker_fit,crossfit_2,shap,
cnn_trend,3.3456301000114763,0.3029310999991139,9993,308,70,122,0.6493494510650635,worker_fit,crossfit_2,all_features,
lstm_price,3.867075200003456,0.0501383000082569,9050,308,70,122,0.586308479309082,worker_fit,crossfit_2,all_features,
cnn_trend,3.1951499999995576,0.2626713999925414,2633,378,70,30,0.6544761061668396,worker_fit,crossfit_3,shap,
lstm_price,3.823430000004009,0.0495149999915156,3162,378,70,30,0.6906635761260986,worker_fit,crossfit_3,shap,
cnn_trend,3.629479999988689,0.3019167000020388,9993,378,70,122,0.6563659310340881,worker_fit,crossfit_3,all_features,
lstm_price,4.007697400011239,0.0554763999971328,9050,378,70,122,0.6612915396690369,worker_fit,crossfit_3,all_features,
cnn_trend,3.2983654999989085,0.2851788000116357,2633,468,240,30,0.657830536365509,worker_fit,final_train,shap,
lstm_price,4.256310299999313,0.0516111000033561,3162,468,240,30,0.7253802418708801,worker_fit,final_train,shap,
cnn_trend,4.058776499994565,0.2808997999964049,9993,468,240,122,0.6763901114463806,worker_fit,final_train,all_features,
lstm_price,4.024947900004918,0.048509100000956,9050,468,240,122,0.6643214225769043,worker_fit,final_train,all_features,
debate_leader,2.989498199996888,0.0166970999998739,50,211,240,9,0.7073018550872803,leader_fit,oof_to_inner_validation,leader_no_disagreement_shap,0.0
debate_leader,2.9547470999968937,0.0170465999981388,50,211,240,9,0.748102605342865,leader_fit,oof_to_inner_validation,pit_tldn_all_features,0.0
debate_leader,3.070933299997705,0.021042699998361,50,211,240,9,0.7258509993553162,leader_fit,oof_to_inner_validation,pit_tldn,0.0
cnn_trend,2.9408487000036985,0.2799471000034828,2633,237,71,30,0.6503115892410278,worker_fit,crossfit_1,shap,
lstm_price,3.726890000005369,0.0466579999920213,3162,237,71,30,0.7291688919067383,worker_fit,crossfit_1,shap,
cnn_trend,3.212861699998029,0.2696989999967627,9993,237,71,122,0.6514990925788879,worker_fit,crossfit_1,all_features,
lstm_price,3.8233459000039143,0.0530276999925263,9050,237,71,122,0.6763611435890198,worker_fit,crossfit_1,all_features,
cnn_trend,3.0432083000050625,0.2930057999910787,2633,308,70,30,0.6570838093757629,worker_fit,crossfit_2,shap,
lstm_price,3.8297663999983342,0.0520045000012032,3162,308,70,30,0.6916126608848572,worker_fit,crossfit_2,shap,
cnn_trend,3.3426668000029167,0.2581611999921733,9993,308,70,122,0.6723088026046753,worker_fit,crossfit_2,all_features,
lstm_price,3.7074853999947663,0.0456384999997681,9050,308,70,122,0.6410626769065857,worker_fit,crossfit_2,all_features,
cnn_trend,3.147298099996988,0.2881785999925341,2633,378,70,30,0.661898136138916,worker_fit,crossfit_3,shap,
lstm_price,3.797092500011786,0.0488706000032834,3162,378,70,30,0.6992920637130737,worker_fit,crossfit_3,shap,
cnn_trend,3.71956830000272,0.3355814999958966,9993,378,70,122,0.6538309454917908,worker_fit,crossfit_3,all_features,
lstm_price,4.078255200001877,0.053389499997138,9050,378,70,122,0.639535129070282,worker_fit,crossfit_3,all_features,
cnn_trend,3.382310500004678,0.3133116000099107,2633,468,240,30,0.6615391969680786,worker_fit,final_train,shap,
lstm_price,3.961920900008408,0.0462598000012803,3162,468,240,30,0.709074079990387,worker_fit,final_train,shap,
cnn_trend,3.891340600006515,0.2905289000045741,9993,468,240,122,0.6591098308563232,worker_fit,final_train,all_features,
lstm_price,4.077175900005386,0.0470102999970549,9050,468,240,122,0.6353233456611633,worker_fit,final_train,all_features,
debate_leader,2.9449331000068923,0.0190433000097982,50,211,240,9,0.7220651507377625,leader_fit,oof_to_inner_validation,leader_no_disagreement_shap,0.0
debate_leader,3.0435744999995222,0.0177613999985624,50,211,240,9,0.7110358476638794,leader_fit,oof_to_inner_validation,pit_tldn_all_features,0.0
debate_leader,3.073744200009969,0.0172907999949529,50,211,240,9,0.7319299578666687,leader_fit,oof_to_inner_validation,pit_tldn,0.0
