model,seed,fold,test_year,sequence_window,rmse_technical,mae_technical,mape_technical,r2_technical,direction_accuracy_technical,balanced_accuracy_technical,mcc_technical,direction_coverage_technical,runtime_seconds_technical,rmse_news,mae_news,mape_news,r2_news,direction_accuracy_news,balanced_accuracy_news,mcc_news,direction_coverage_news,runtime_seconds_news,rmse_delta_news_minus_technical,mae_delta_news_minus_technical,mape_delta_news_minus_technical,r2_delta_news_minus_technical,mcc_delta_news_minus_technical,direction_coverage_delta_news_minus_technical,runtime_seconds_delta_news_minus_technical,direction_accuracy_delta_pp,balanced_accuracy_delta_pp
lstm,2025,fold_1,2022,5,35.202972804118914,31.65864748914711,3.2301198148862746,-1.5017718901772454,0.44583333333333336,0.5,0.0,1.0,4.196245999999519,15.837552508868589,12.461722720074954,1.2712258884205783,0.49363326944525665,0.49166666666666664,0.501159440657719,0.0023413647570136626,1.0,4.229167500001495,-19.365420295250324,-19.196924769072155,-1.9588939264656964,1.9954051596225022,0.0023413647570136626,0.0,0.0329215000019758,4.583333333333329,0.1159440657719002
lstm,2025,fold_2,2023,5,14.465676639820966,11.557268764025887,1.2369140310819926,0.8943018789184431,0.5454545454545454,0.5352933114035088,0.07538945241186955,1.0,4.5677490000016405,13.38188414611203,10.491127113761241,1.1312216181061066,0.9095467255998791,0.5661157024793388,0.5586622807017544,0.12145226852699081,1.0,5.062911599998188,-1.0837924937089358,-1.0661416502646457,-0.10569241297588605,0.015244846681435997,0.046062816115121266,0.0,0.4951625999965472,2.066115702479343,2.336896929824561
lstm,2025,fold_3,2024,5,19.072653217344662,16.127738145711955,1.9013378289190337,0.8124173543901008,0.5204918032786885,0.5360051147452722,0.10955229306176453,1.0,4.860678299999563,18.7959197195314,15.7402057243859,1.8543889082813063,0.8178213016709717,0.5245901639344263,0.5389326334208224,0.10845573773372662,1.0,4.920584799998323,-0.27673349781326095,-0.38753242132605514,-0.046948920637727376,0.005403947280870902,-0.0010965553280379153,0.0,0.05990649999876041,0.4098360655737765,0.2927518675550189
lstm,2025,fold_4,2025,5,18.80782783467676,14.419299246789803,1.878065122074584,0.8634486527650349,0.5470085470085471,0.5526315789473684,0.11692108443873354,1.0,5.291547699998773,19.51525090533044,14.990899904085014,1.9506393677305907,0.8529831928513295,0.5470085470085471,0.5530701754385965,0.12021633938538347,1.0,5.324253599996155,0.7074230706536788,0.5716006572952104,0.07257424565600656,-0.0104654599137054,0.0032952549466499226,0.0,0.03270589999738149,0.0,0.043859649122812705
lstm_attention,42,fold_1,2022,10,21.87713680783759,17.16485819248737,1.7487972143892563,0.033793413787183924,0.4625,0.4611411706837186,-0.07727099394412841,1.0,6.775013200000103,24.249566896627318,18.28720590365379,1.8630132894926346,-0.1871265034905707,0.45,0.45717096479516545,-0.08602151764163367,1.0,6.555656100004853,2.372430088789727,1.1223477111664195,0.11421607510337828,-0.22091991727775462,-0.008750523697505258,0.0,-0.21935709999524988,-1.250000000000001,-0.397020588855318
lstm_attention,42,fold_2,2023,10,25.615103150777248,20.460014109768476,2.225292665037918,0.6685775070026732,0.5537190082644629,0.5690104166666667,0.16139093864344395,1.0,7.399590900000476,27.110162297137705,21.301169866161562,2.3102410039920493,0.6287606559323901,0.5371900826446281,0.5505071271929824,0.11321703349751136,1.0,7.430052399999113,1.4950591463604574,0.8411557563930856,0.08494833895413123,-0.0398168510702831,-0.04817390514593259,0.0,0.03046149999863701,-1.6528925619834767,-1.8503289473684292
lstm_attention,42,fold_3,2024,10,23.926715015792993,20.641011482345277,2.4039418888542263,0.7047862472077907,0.5409836065573771,0.5479507369271148,0.10173813246981493,1.0,8.364353500001016,25.094351548054707,20.42114314932314,2.3924870038390793,0.6752700188005957,0.5532786885245902,0.5627902281445588,0.14123257556734894,1.0,8.330519399998593,1.1676365322617137,-0.21986833302213782,-0.01145488501514702,-0.029516228407195033,0.03949444309753401,0.0,-0.03383410000242293,1.2295081967213073,1.483949121744399
lstm_attention,42,fold_4,2025,10,24.433542734327443,19.341585446203883,2.470192611256535,0.7695421043719519,0.5085470085470085,0.5092105263157894,0.0184392582554902,1.0,9.319788900000276,22.829223384335155,17.926471776282177,2.2837084176622895,0.798812504910327,0.5128205128205128,0.5135964912280702,0.027232825675246652,1.0,8.990910100001201,-1.6043193499922879,-1.4151136699217055,-0.18648419359424562,0.02927040053837504,0.008793567419756454,0.0,-0.32887879999907454,0.42735042735042583,0.43859649122807154
lstm_attention,123,fold_1,2022,10,138.25903726152012,136.4559003786081,13.823835452417018,-37.59011609580412,0.44583333333333336,0.5,0.0,1.0,6.472838800000318,27.829472291891364,22.832308814876807,2.327183997216596,-0.5635039065788412,0.4583333333333333,0.46468976178764665,-0.07075983615851762,1.0,6.62871240000095,-110.42956496962876,-113.6235915637313,-11.496651455200421,37.026612189225276,-0.07075983615851762,0.0,0.155873600000632,1.2499999999999956,-3.531023821235335
lstm_attention,123,fold_2,2023,10,65.05887931721793,55.59503681085728,5.8155941732244525,-1.1379764524186506,0.5619834710743802,0.545641447368421,0.11093493724962532,1.0,7.360165300000517,22.543460738424248,18.18092112210061,1.9605055180897082,0.7432970048845711,0.5537190082644629,0.5603755482456141,0.12366696685114714,1.0,7.285488900000928,-42.515418578793685,-37.41411568875667,-3.855088655134744,1.8812734573032217,0.012732029601521824,0.0,-0.0746763999995892,-0.8264462809917328,1.4734100877193068
