stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds,news_start_year
track_b_fusion,lstm,technical_vmd_news,5,2025,fold_2,2019,2022,2023,968,243,13.38188414611203,10.491127113761241,1.1312216181061066,0.9095467255998791,0.5661157024793388,0.5586622807017544,0.12145226852699081,1.0,242,1,0,88,40,65,49,0.3677685950413223,5.062911599998188,2019
track_b_fusion,lstm,technical_vmd_news,5,2025,fold_3,2019,2023,2024,1211,244,18.7959197195314,15.7402057243859,1.8543889082813063,0.8178213016709717,0.5245901639344263,0.5389326334208224,0.10845573773372662,1.0,244,0,0,24,103,13,104,0.8483606557377049,4.920584799998323,2019
track_b_fusion,lstm,technical_vmd_news,5,2025,fold_4,2019,2024,2025,1455,234,19.51525090533044,14.990899904085014,1.9506393677305907,0.8529831928513295,0.5470085470085471,0.5530701754385965,0.12021633938538347,1.0,234,0,0,38,82,24,90,0.7350427350427351,5.324253599996155,2019
track_b_fusion,lstm_attention,technical_vmd,10,42,fold_1,2019,2021,2022,727,241,21.87713680783759,17.16485819248737,1.7487972143892563,0.033793413787183924,0.4625,0.4611411706837186,-0.07727099394412841,1.0,240,1,0,48,59,70,63,0.5083333333333333,6.775013200000103,2019
track_b_fusion,lstm_attention,technical_vmd,10,42,fold_2,2019,2022,2023,968,243,25.615103150777248,20.460014109768476,2.225292665037918,0.6685775070026732,0.5537190082644629,0.5690104166666667,0.16139093864344395,1.0,242,1,0,39,89,19,95,0.7603305785123967,7.399590900000476,2019
track_b_fusion,lstm_attention,technical_vmd,10,42,fold_3,2019,2023,2024,1211,244,23.926715015792993,20.641011482345277,2.4039418888542263,0.7047862472077907,0.5409836065573771,0.5479507369271148,0.10173813246981493,1.0,244,0,0,48,79,33,84,0.6680327868852459,8.364353500001016,2019
track_b_fusion,lstm_attention,technical_vmd,10,42,fold_4,2019,2024,2025,1455,234,24.433542734327443,19.341585446203883,2.470192611256535,0.7695421043719519,0.5085470085470085,0.5092105263157894,0.0184392582554902,1.0,234,0,0,58,62,53,61,0.5256410256410257,9.319788900000276,2019
track_b_fusion,lstm_attention,technical_vmd,10,123,fold_1,2019,2021,2022,727,241,138.25903726152012,136.4559003786081,13.823835452417018,-37.59011609580412,0.44583333333333336,0.5,0.0,1.0,240,1,0,107,0,133,0,0.0,6.472838800000318,2019
track_b_fusion,lstm_attention,technical_vmd,10,123,fold_2,2019,2022,2023,968,243,65.05887931721793,55.59503681085728,5.8155941732244525,-1.1379764524186506,0.5619834710743802,0.545641447368421,0.11093493724962532,1.0,242,1,0,106,22,84,30,0.21487603305785125,7.360165300000517,2019
track_b_fusion,lstm_attention,technical_vmd,10,123,fold_3,2019,2023,2024,1211,244,64.04885067663892,56.00291815790973,6.652338592802002,-1.1154029897001814,0.5409836065573771,0.5516521973214886,0.12053182113563636,1.0,244,0,0,37,90,22,95,0.7581967213114754,8.134508499999356,2019
track_b_fusion,lstm_attention,technical_vmd,10,123,fold_4,2019,2024,2025,1455,234,131.6726673418684,121.60314171868508,15.68646116329366,-5.692832785335134,0.48717948717948717,0.5,0.0,1.0,234,0,0,0,120,0,114,1.0,9.121435199995176,2019
track_b_fusion,lstm_attention,technical_vmd,10,456,fold_1,2019,2021,2022,727,241,34.9388969831376,28.4442901612021,2.888474220392664,-1.4643784858350495,0.4666666666666667,0.5096620054809922,0.03144312847487625,1.0,240,1,0,97,10,118,15,0.10416666666666667,6.5669335999991745,2019
track_b_fusion,lstm_attention,technical_vmd,10,456,fold_2,2019,2022,2023,968,243,21.49173238981436,17.349341697992106,1.880975188820153,0.7666903995180291,0.5454545454545454,0.5578399122807017,0.12735083250547663,1.0,242,1,0,44,84,26,88,0.7107438016528925,7.478042700000515,2019
