stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds
outer_test,cnn,full_ta,20,456,fold_2,2012,2022,2023,2599,243,27.717518696837672,22.577451674320063,2.397907639825934,0.6119403747780305,0.5537190082644629,0.536389802631579,0.0911057153719789,1.0,242,1,0,107,21,87,27,0.1983471074380165,6.450233299998217
outer_test,cnn,full_ta,20,456,fold_3,2012,2023,2024,2842,244,31.30021879385837,26.79475729358004,3.1577776851556445,0.4947978634266109,0.5081967213114754,0.5265495659196446,0.1181148616947922,1.0,244,0,0,10,117,3,114,0.9467213114754098,6.708936999995785
outer_test,cnn,full_ta,20,456,fold_4,2012,2024,2025,3086,234,54.286233651845855,43.35412694451137,5.662471184661859,-0.1376223905993248,0.5598290598290598,0.5649122807017544,0.1411487174212902,1.0,234,0,0,44,76,27,87,0.6965811965811965,6.96499230000336
outer_test,cnn,full_ta,20,789,fold_1,2012,2021,2022,2358,241,24.32652077668616,20.103263938080737,2.044979714137748,-0.1946729428067581,0.5,0.4684842948492727,-0.0765876499397343,1.0,240,1,0,19,88,32,101,0.7875,5.8618306999997
outer_test,cnn,full_ta,20,789,fold_2,2012,2022,2023,2599,243,17.81313573737029,14.585565628043906,1.5634740583555355,0.8397232541806605,0.5165289256198347,0.510827850877193,0.022057678574623,1.0,242,1,0,78,50,67,47,0.4008264462809917,6.360178100003395
outer_test,cnn,full_ta,20,789,fold_3,2012,2023,2024,2842,244,23.15004915242028,19.308180740348657,2.273266048597515,0.7236405836667109,0.5122950819672131,0.5294770845951948,0.107366873768233,1.0,244,0,0,14,113,6,111,0.918032786885246,6.8999895000015385
outer_test,cnn,full_ta,20,789,fold_4,2012,2024,2025,3086,234,34.693266871743525,27.819926350422428,3.6124803832813743,0.5353680164182484,0.5384615384615384,0.5458333333333334,0.1117790911458458,1.0,234,0,0,31,89,19,95,0.7863247863247863,7.4496074999988195
outer_test,cnn,full_ta,20,2025,fold_1,2012,2021,2022,2358,241,22.76232985577698,18.328261969514912,1.8623913221258088,-0.0459777668621748,0.5041666666666667,0.4713301946454922,-0.0712526820421104,1.0,240,1,0,18,89,30,103,0.8,5.9118419000005815
outer_test,cnn,full_ta,20,2025,fold_2,2012,2022,2023,2599,243,18.74255433716717,15.458862118151943,1.6516501452164756,0.8225617200764601,0.5371900826446281,0.5317982456140351,0.0646690203234979,1.0,242,1,0,80,48,64,50,0.4049586776859504,6.246631400004844
outer_test,cnn,full_ta,20,2025,fold_3,2012,2023,2024,2842,244,24.943479516507367,20.79521386871576,2.4499789848667413,0.6791629582317278,0.5163934426229508,0.5334140924692106,0.1190398520003483,1.0,244,0,0,15,112,6,111,0.9139344262295082,6.689533100005065
