regime,feature,consensus_normalized_rank,normalized_rank_std,contributing_cells,consensus_rank
global,Change_pct_D,0.6407713498622589,0.19900683932490174,15,79
global,CCI_20,0.6495867768595042,0.197108489944448,15,80
global,Change_pct_D_lag5,0.6495867768595042,0.18341575689469192,15,81
global,Close_to_SMA_20,0.6495867768595042,0.20506623981855163,15,82
global,MACD_Histogram,0.6771349862258954,0.16265512231656679,15,83
global,Body_W,0.6831955922865014,0.15183323200499918,15,84
global,Close_to_SMA_5,0.6848484848484849,0.200569667554674,15,85
global,Volume_Change_5D,0.6881542699724518,0.18591674014060258,15,86
global,ROC_5,0.6881542699724519,0.19821095943868486,15,87
global,Volume_D_lag1,0.6925619834710744,0.1762371953248597,15,88
global,Change_pct_D_lag2,0.6936639118457301,0.11953782654558509,15,89
global,Spread_W,0.6942148760330579,0.1715747065456752,15,90
global,Volume_M,0.6942148760330579,0.21952557469129666,15,91
global,Volume_D_lag5,0.6958677685950413,0.1579603027915359,15,92
global,Ratio_Close_D_to_M,0.6991735537190082,0.20257689864678247,15,93
global,Change_pct_D_lag10,0.699724517906336,0.19961388731245136,15,94
global,Momentum_10,0.700275482093664,0.20417612218488815,15,95
global,Momentum_5,0.7008264462809918,0.22312300425561762,15,96
global,Volume_Ratio_5,0.7019283746556474,0.20002406664518055,15,97
global,Volume_Ratio_20,0.703030303030303,0.1941826360908402,15,98
global,VMD_IMF_4,0.7112947658402203,0.2147049238492247,15,99
global,Return_10D,0.715702479338843,0.17741254603392,15,100
global,VMD_IMF_3,0.7212121212121212,0.15784495517344727,15,101
global,Close_to_SMA_10,0.7278236914600551,0.17665930770311214,15,102
global,Volume_D_lag2,0.7316804407713499,0.13568636744941165,15,103
global,ROC_10,0.7421487603305785,0.1745683502567809,15,104
global,Volume_D_lag3,0.7454545454545455,0.21392487694626608,15,105
global,Volume_D,0.7652892561983471,0.1464066723082362,15,106
global,Return_5D,0.7658402203856749,0.16051750525220265,15,107
global,Return_3D,0.771900826446281,0.16024779079510376,15,108
global,Change_pct_D_lag1,0.7741046831955922,0.14963232122730746,15,109
global,Upper_Shadow_D,0.7746556473829201,0.1659804516935696,15,110
global,Return_1D,0.7774104683195592,0.15415467665518157,15,111
global,Ratio_Close_D_to_W,0.7840220385674931,0.2106307233417989,15,112
global,Change_pct_D_lag3,0.7922865013774104,0.14927977872787854,15,113
global,Change_pct_D_lag20,0.7950413223140497,0.13330438342974252,15,114
global,Change_pct_W,0.8005509641873279,0.18022449193197135,15,115
global,Spread_D,0.8049586776859504,0.09307288585320873,15,116
global,Volume_D_lag10,0.8446280991735536,0.13659420241561648,15,117
global,Body_D,0.8457300275482094,0.15975586410355896,15,118
global,Ratio_Volume_D_to_W,0.8787878787878788,0.11848017863872835,15,119
global,Volume_Change_20D,0.8837465564738293,0.094975423314954,15,120
global,Volume_D_lag20,0.8892561983471075,0.10914098525103588,15,121
global,Lower_Shadow_D,0.9597796143250689,0.05775558516889932,15,122
sideway,Close_D,0.0,0.0,15,1
sideway,WMA_60,0.07768595041322315,0.13303328291076877,15,2
sideway,SMA_60,0.09311294765840221,0.1412047767769178,15,3
sideway,Close_D_lag1,0.1068870523415978,0.10041852696195498,15,4
sideway,WMA_5,0.1415977961432507,0.17946493281416062,15,5
sideway,VMD_Denoised_Close,0.15482093663911847,0.12551052639814306,15,6
sideway,Low_D,0.15977961432506887,0.08910229125764701,15,7
sideway,SMA_5,0.16473829201101928,0.17890950917832077,15,8
sideway,Close_D_lag60,0.1680440771349862,0.12120764901770893,15,9
sideway,WMA_10,0.1746556473829201,0.19579394407928843,15,10
sideway,Direction_lag1,0.18898071625344354,0.1461754522477692,15,11
sideway,Low_W,0.20275482093663913,0.09591593193659198,15,12
sideway,Close_D_lag20,0.21928374655647384,0.1489853560634554,15,13
sideway,Close_W_lag2,0.2236914600550964,0.23231955090339038,15,14
sideway,Close_W_lag1,0.22865013774104684,0.2591080280835793,15,15
sideway,Close_D_lag2,0.23636363636363636,0.11594678205366425,15,16
sideway,Close_M_lag1,0.237465564738292,0.19739704249069875,15,17
sideway,SMA_10,0.237465564738292,0.23646158971851036,15,18
sideway,Close_M,0.24297520661157027,0.25682218294200604,15,19
sideway,Close_D_lag5,0.24573002754820938,0.09507810317842899,15,20
sideway,Open_W,0.2462809917355372,0.18843803705972517,15,21
sideway,Direction_lag2,0.25013774104683195,0.1628948970852999,15,22
sideway,WMA_20,0.2506887052341598,0.1522824120906841,15,23
sideway,High_M,0.26005509641873276,0.1573000342541559,15,24
sideway,Low_M,0.2600550964187328,0.1624570417196849,15,25
sideway,Direction_lag5,0.26611570247933886,0.16123117599023642,15,26
sideway,StochK_14,0.26611570247933886,0.19552797829800728,15,27
sideway,Close_W_lag4,0.26831955922865014,0.21632123809181053,15,28
sideway,High_D,0.2694214876033058,0.2121753816459852,15,29
sideway,WilliamsR_14,0.27107438016528923,0.19669719125068427,15,30
sideway,Close_M_lag3,0.28484848484848485,0.17340935882531308,15,31
sideway,High_W,0.2865013774104683,0.24725737429897804,15,32
sideway,SMA_20,0.303030303030303,0.2711065338337177,15,33
sideway,Close_D_lag3,0.3079889807162534,0.2233255314552337,15,34
sideway,Close_W,0.31625344352617085,0.23794245425674565,15,35
sideway,VMD_IMF_1,0.3487603305785124,0.2392660367910266,15,36
sideway,StochD_3,0.35426997245179065,0.2188548763752696,15,37
sideway,Direction_lag3,0.35537190082644626,0.19534824668973655,15,38
sideway,Open_D,0.3597796143250689,0.28834172644636813,15,39
sideway,Open_M,0.3614325068870523,0.2722701379150847,15,40
sideway,VMD_Noise_Energy_Ratio,0.362534435261708,0.25896112257202447,15,41
