model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,fallback
spearman_filter,fold_1,bull,Upper_Shadow_D,0.06528065867096633,0.6776859504132231,72,none
spearman_filter,fold_1,bull,Lower_Shadow_D,0.06455554753503458,0.6859504132231405,72,none
spearman_filter,fold_1,bull,Body_to_Range_D,0.19261688854588724,0.256198347107438,72,none
spearman_filter,fold_1,bull,Close_Position_D,0.029376060222950015,0.8677685950413223,72,none
spearman_filter,fold_1,bull,Spread_W,0.15058564637630625,0.35537190082644626,72,none
spearman_filter,fold_1,bull,Body_W,0.17693410813797866,0.30578512396694213,72,none
spearman_filter,fold_1,bull,Close_Position_W,0.09560175367804855,0.5537190082644629,72,none
spearman_filter,fold_1,bull,Spread_M,0.03185428698598372,0.8512396694214877,72,none
spearman_filter,fold_1,bull,Body_M,0.10728314332278381,0.48760330578512395,72,none
spearman_filter,fold_1,bull,Close_Position_M,0.017776852860626066,0.9338842975206612,72,none
spearman_filter,fold_1,bull,Volume_MA_5,0.18384114481032143,0.2809917355371901,72,none
spearman_filter,fold_1,bull,Volume_MA_20,0.014599009582609818,0.9586776859504132,72,none
spearman_filter,fold_1,bull,Volume_Ratio_5,0.06640298411473407,0.6611570247933884,72,none
spearman_filter,fold_1,bull,Volume_Ratio_20,0.10753103093446527,0.4793388429752066,72,none
spearman_filter,fold_1,bull,Volume_Change_1D,0.051804390994591505,0.7603305785123967,72,none
spearman_filter,fold_1,bull,Volume_Change_5D,0.021094604154608017,0.9173553719008265,72,none
spearman_filter,fold_1,bull,Volume_Change_20D,0.06971565467180285,0.6446280991735537,72,none
spearman_filter,fold_1,bull,Direction_lag1,0.10065425246263958,0.5289256198347108,72,none
spearman_filter,fold_1,bull,Direction_lag2,0.12475456643256737,0.4380165289256198,72,none
spearman_filter,fold_1,bull,Direction_lag3,0.09182868481345365,0.5785123966942148,72,none
spearman_filter,fold_1,bull,Direction_lag5,0.0007166515836652131,1.0,72,none
spearman_filter,fold_1,bull,Up_Ratio_5,0.05077992349646489,0.7727272727272727,72,none
spearman_filter,fold_1,bull,Up_Ratio_10,0.06272256338068478,0.6983471074380165,72,none
spearman_filter,fold_1,bull,Up_Ratio_20,0.21314804685987043,0.1446280991735537,72,none
spearman_filter,fold_1,bull,Down_Ratio_5,0.05077992349646489,0.7727272727272727,72,none
spearman_filter,fold_1,bull,Down_Ratio_10,0.06272256338068478,0.6983471074380165,72,none
spearman_filter,fold_1,bull,Down_Ratio_20,0.21314804685987043,0.1446280991735537,72,none
spearman_filter,fold_1,bull,WMA_5,0.22351919737603707,0.049586776859504134,72,none
spearman_filter,fold_1,bull,WMA_10,0.2171200720303557,0.09917355371900827,72,none
spearman_filter,fold_1,bull,WMA_20,0.19457842948099563,0.24793388429752067,72,none
spearman_filter,fold_1,bull,WMA_60,0.21419383883207926,0.12396694214876033,72,none
spearman_filter,fold_1,bull,StochK_14,0.08122708855874976,0.6074380165289256,72,none
spearman_filter,fold_1,bull,StochD_3,0.03701202649688084,0.8181818181818182,72,none
spearman_filter,fold_1,bull,RSI_14,0.09138851373078656,0.5867768595041323,72,none
spearman_filter,fold_1,bull,MACD_12_26,0.03074152678628851,0.859504132231405,72,none
spearman_filter,fold_1,bull,MACD_Signal_9,0.023056145089716384,0.8925619834710744,72,none
spearman_filter,fold_1,bull,MACD_Histogram,0.012476686603640107,0.9752066115702479,72,none
spearman_filter,fold_1,bull,WilliamsR_14,0.08122708855874976,0.6074380165289256,72,none
spearman_filter,fold_1,bull,CCI_20,0.042446459579394184,0.8016528925619835,72,none
spearman_filter,fold_1,bull,ADX_14,0.1693999614123095,0.32231404958677684,72,none
spearman_filter,fold_1,bull,PlusDI_14,0.09814135957296291,0.5371900826446281,72,none
spearman_filter,fold_1,bull,MinusDI_14,0.10576242845199049,0.49586776859504134,72,none
spearman_filter,fold_1,bull,VMD_IMF_1,0.05479452054794521,0.7355371900826446,72,none
spearman_filter,fold_1,bull,VMD_IMF_2,0.15174609299633418,0.34710743801652894,72,none
spearman_filter,fold_1,bull,VMD_IMF_3,0.020965978519518945,0.9256198347107438,72,none
spearman_filter,fold_1,bull,VMD_IMF_4,0.20747314939867523,0.17355371900826447,72,none
spearman_filter,fold_1,bull,VMD_Denoised_Close,0.2138401183355843,0.1322314049586777,72,none
spearman_filter,fold_1,bull,VMD_Noise_Energy_Ratio,0.04829892597594702,0.7851239669421488,72,none
spearman_filter,fold_1,sideway,Open_D,0.12883719250081277,0.08264462809917356,94,none
spearman_filter,fold_1,sideway,High_D,0.12253773990521703,0.12396694214876033,94,none
spearman_filter,fold_1,sideway,Low_D,0.14831485026911823,0.03305785123966942,94,none
spearman_filter,fold_1,sideway,Close_D,0.11310953693509096,0.1487603305785124,94,none
spearman_filter,fold_1,sideway,Volume_D,0.019293789904519472,0.8181818181818182,94,none
spearman_filter,fold_1,sideway,Change_pct_D,0.09993533688742935,0.256198347107438,94,none
spearman_filter,fold_1,sideway,Open_W,0.09264022780966248,0.2892561983471074,94,none
spearman_filter,fold_1,sideway,High_W,0.04817118308366932,0.5867768595041323,94,none
spearman_filter,fold_1,sideway,Low_W,0.08500456744695536,0.3305785123966942,94,none
spearman_filter,fold_1,sideway,Close_W,0.040853675236075006,0.6446280991735537,94,none
spearman_filter,fold_1,sideway,Volume_W,0.03142479160636849,0.71900826446281,94,none
spearman_filter,fold_1,sideway,Change_pct_W,0.04422319960067871,0.628099173553719,94,none
spearman_filter,fold_1,sideway,Open_M,0.0215926905746257,0.8016528925619835,94,none
spearman_filter,fold_1,sideway,High_M,0.004394327511474619,0.9421487603305785,94,none
spearman_filter,fold_1,sideway,Low_M,0.04581614770255543,0.5950413223140496,94,none
spearman_filter,fold_1,sideway,Close_M,0.030833167000081447,0.7272727272727273,94,none
spearman_filter,fold_1,sideway,Volume_M,0.16683140915454137,0.01652892561983471,94,none
spearman_filter,fold_1,sideway,Change_pct_M,0.03717324151912443,0.6818181818181818,94,none
spearman_filter,fold_1,sideway,Close_D_lag1,0.14051273529960298,0.04132231404958678,94,none
spearman_filter,fold_1,sideway,Close_D_lag2,0.10800130043709134,0.1652892561983471,94,none
spearman_filter,fold_1,sideway,Close_D_lag3,0.07629953401004226,0.3884297520661157,94,none
spearman_filter,fold_1,sideway,Close_D_lag5,0.06150344977061734,0.4793388429752066,94,none
spearman_filter,fold_1,sideway,Close_D_lag10,0.05556478705342629,0.5619834710743802,94,none
spearman_filter,fold_1,sideway,Close_D_lag20,0.07427663186793339,0.4214876033057851,94,none
spearman_filter,fold_1,sideway,Close_D_lag60,0.045378029837806595,0.6033057851239669,94,none
spearman_filter,fold_1,sideway,Change_pct_D_lag1,0.0021168914219286453,0.9752066115702479,94,none
spearman_filter,fold_1,sideway,Change_pct_D_lag2,0.0908391404486444,0.2975206611570248,94,none
spearman_filter,fold_1,sideway,Change_pct_D_lag3,0.014154164103316358,0.8429752066115702,94,none
spearman_filter,fold_1,sideway,Change_pct_D_lag5,0.07624697013383977,0.39669421487603307,94,none
spearman_filter,fold_1,sideway,Change_pct_D_lag10,0.07707814044178421,0.371900826446281,94,none
spearman_filter,fold_1,sideway,Change_pct_D_lag20,0.000982612812667529,0.9917355371900827,94,none
spearman_filter,fold_1,sideway,Volume_D_lag1,0.039453575827547875,0.6611570247933884,94,none
spearman_filter,fold_1,sideway,Volume_D_lag2,0.014465631602799784,0.8347107438016529,94,none
spearman_filter,fold_1,sideway,Volume_D_lag3,0.0085047347903145,0.8842975206611571,94,none
spearman_filter,fold_1,sideway,Volume_D_lag5,0.060196609556109594,0.48760330578512395,94,none
spearman_filter,fold_1,sideway,Volume_D_lag10,0.08516710863028178,0.32231404958677684,94,none
spearman_filter,fold_1,sideway,Volume_D_lag20,0.10067519016819135,0.23140495867768596,94,none
spearman_filter,fold_1,sideway,Close_W_lag1,0.059872468576435106,0.49586776859504134,94,none
spearman_filter,fold_1,sideway,Close_W_lag2,0.07446619186927284,0.4132231404958678,94,none
spearman_filter,fold_1,sideway,Close_W_lag4,0.06754638628207794,0.4297520661157025,94,none
spearman_filter,fold_1,sideway,Close_M_lag1,0.04209224919350324,0.6363636363636364,94,none
spearman_filter,fold_1,sideway,Close_M_lag3,0.06532974529885366,0.4628099173553719,94,none
spearman_filter,fold_1,sideway,Return_1D,0.10009753278185168,0.24793388429752067,94,none
spearman_filter,fold_1,sideway,Return_3D,0.008069934616912907,0.8925619834710744,94,none
spearman_filter,fold_1,sideway,Return_5D,0.004616551674312754,0.9297520661157025,94,none
spearman_filter,fold_1,sideway,Return_10D,0.05757323989452011,0.5495867768595041,94,none
spearman_filter,fold_1,sideway,Return_20D,0.002564750930173753,0.9628099173553719,94,none
spearman_filter,fold_1,sideway,Return_60D,0.13886500740526675,0.06198347107438017,94,none
spearman_filter,fold_1,sideway,SMA_5,0.09675974424737205,0.2644628099173554,94,none
spearman_filter,fold_1,sideway,SMA_10,0.09563269876819709,0.2727272727272727,94,none
spearman_filter,fold_1,sideway,SMA_20,0.05815121193512264,0.5206611570247934,94,none
spearman_filter,fold_1,sideway,SMA_60,0.08859588917386121,0.3140495867768595,94,none
spearman_filter,fold_1,sideway,Close_to_SMA_5,0.03822562583535022,0.6694214876033058,94,none
spearman_filter,fold_1,sideway,Close_to_SMA_10,0.013647364808727377,0.8512396694214877,94,none
spearman_filter,fold_1,sideway,Close_to_SMA_20,0.11513925513853267,0.1322314049586777,94,none
spearman_filter,fold_1,sideway,Close_to_SMA_60,0.08389986634396561,0.33884297520661155,94,none
spearman_filter,fold_1,sideway,Volatility_5,0.006061481775819094,0.9090909090909091,94,none
spearman_filter,fold_1,sideway,Volatility_10,0.18660549795903625,0.008264462809917356,94,none
spearman_filter,fold_1,sideway,Volatility_20,0.00561355344435213,0.9173553719008265,94,none
spearman_filter,fold_1,sideway,Volatility_60,0.01285265325289889,0.8677685950413223,94,none
spearman_filter,fold_1,sideway,Momentum_5,0.002868186251490084,0.9504132231404959,94,none
spearman_filter,fold_1,sideway,Momentum_10,0.05787667521583643,0.5371900826446281,94,none
spearman_filter,fold_1,sideway,Momentum_20,0.00019506556370335582,1.0,94,none
spearman_filter,fold_1,sideway,Momentum_60,0.14031044435465007,0.049586776859504134,94,none
