regime,feature,consensus_normalized_rank,normalized_rank_std,contributing_cells,consensus_rank,selection_fold
bear,WMA_10,0.27603305785123966,0.26694342808587335,5,23,fold_3
bear,Close_W_lag4,0.2809917355371901,0.18963295711708705,5,24,fold_3
bear,Direction_lag3,0.28760330578512394,0.19656569174197727,5,25,fold_3
bear,Close_M_lag1,0.29421487603305785,0.16159085493494565,5,26,fold_3
bear,WMA_20,0.2975206611570248,0.16886625406365743,5,27,fold_3
bear,Open_W,0.2991735537190082,0.20722223804119572,5,28,fold_3
bear,Close_W,0.30247933884297523,0.31091300123638843,5,29,fold_3
bear,Close_D_lag3,0.30743801652892566,0.2379820911725747,5,30,fold_3
bear,Return_60D,0.31239669421487604,0.23841220555055728,5,31,fold_3
bear,Open_D,0.315702479338843,0.3513320248049921,5,32,fold_3
bear,WilliamsR_14,0.3239669421487603,0.19376596615870895,5,33,fold_3
bear,ADX_14,0.32892561983471075,0.18584937567237514,5,34,fold_3
bear,SMA_20,0.3338842975206612,0.22455930933631582,5,35,fold_3
bear,MACD_12_26,0.33719008264462813,0.21427124041653386,5,36,fold_3
bear,Volatility_5,0.34545454545454546,0.2996594383243182,5,37,fold_3
bear,High_W,0.34710743801652894,0.2749098740244611,5,38,fold_3
bear,VMD_Noise_Energy_Ratio,0.34710743801652894,0.16456452687388326,5,39,fold_3
bear,Close_M,0.3487603305785124,0.298116941504677,5,40,fold_3
bear,MACD_Signal_9,0.3537190082644628,0.124571528472177,5,41,fold_3
bear,Close_D_lag60,0.35371900826446284,0.2289867746582245,5,42,fold_3
bear,ROC_60,0.371900826446281,0.21998068849927546,5,43,fold_3
bear,Close_D_lag20,0.3785123966942149,0.18213721071511307,5,44,fold_3
bear,Momentum_60,0.39669421487603307,0.20883105402468227,5,45,fold_3
bear,Spread_M,0.40495867768595045,0.20677679344126948,5,46,fold_3
bear,PlusDI_14,0.40991735537190077,0.2516661234969915,5,47,fold_3
bear,Close_Position_M,0.4198347107438017,0.2656481699698289,5,48,fold_3
bear,VMD_IMF_1,0.424793388429752,0.2703755353720516,5,49,fold_3
bear,Body_M,0.42809917355371907,0.18612480344144458,5,50,fold_3
bear,Change_pct_M,0.42809917355371907,0.10245934222393356,5,51,fold_3
bear,Return_20D,0.42809917355371907,0.2045684100984751,5,52,fold_3
bear,Volatility_10,0.4330578512396694,0.3266606681736952,5,53,fold_3
bear,MinusDI_14,0.43966942148760335,0.2070573702944802,5,54,fold_3
bear,Low_M,0.4462809917355372,0.2190472443090673,5,55,fold_3
bear,Down_Ratio_5,0.46115702479338844,0.275802843574913,5,56,fold_3
bear,Close_to_SMA_60,0.47107438016528924,0.2978074834169793,5,57,fold_3
bear,Close_D_lag10,0.4727272727272728,0.18325875586257953,5,58,fold_3
bear,Close_Position_D,0.4743801652892562,0.26501749680953185,5,59,fold_3
bear,RSI_14,0.4776859504132231,0.1944696763600021,5,60,fold_3
bear,ROC_5,0.4826446280991735,0.2153998700625171,5,61,fold_3
bear,Open_M,0.4859504132231405,0.34766778855101965,5,62,fold_3
bear,Momentum_20,0.48925619834710743,0.23603687753003516,5,63,fold_3
bear,Close_Position_W,0.49752066115702476,0.16387827514638595,5,64,fold_3
bear,Close_to_SMA_20,0.4991735537190083,0.19501330517358842,5,65,fold_3
bear,Close_to_SMA_5,0.5024793388429752,0.15997660507877143,5,66,fold_3
bear,ROC_20,0.5024793388429752,0.22499990513700008,5,67,fold_3
bear,Down_Ratio_20,0.5074380165289256,0.3039704923866571,5,68,fold_3
bear,Volatility_20,0.5206611570247934,0.18452159968401738,5,69,fold_3
bear,Change_pct_D,0.5371900826446281,0.25026452776407804,5,70,fold_3
bear,Up_Ratio_5,0.5371900826446281,0.20486868192133123,5,71,fold_3
bear,Up_Ratio_20,0.540495867768595,0.2342359299285149,5,72,fold_3
bear,Body_to_Range_D,0.5504132231404959,0.2687285110213446,5,73,fold_3
bear,Spread_W,0.5570247933884298,0.2472856539689167,5,74,fold_3
bear,VMD_IMF_2,0.5586776859504132,0.31091300123638843,5,75,fold_3
bear,Volatility_60,0.5603305785123966,0.2657766949035517,5,76,fold_3
bear,Momentum_5,0.5834710743801652,0.22103382651138156,5,77,fold_3
bear,CCI_20,0.6,0.18742300288231858,5,78,fold_3
bear,Momentum_10,0.6033057851239669,0.1960089458782053,5,79,fold_3
bear,Return_10D,0.6115702479338843,0.2429948831072588,5,80,fold_3
bear,Volume_W,0.6115702479338843,0.20486868192133123,5,81,fold_3
bear,Down_Ratio_10,0.6247933884297521,0.24148641539239793,5,82,fold_3
bear,Change_pct_D_lag1,0.631404958677686,0.13712534567395046,5,83,fold_3
bear,Change_pct_D_lag5,0.6330578512396694,0.22072460164465238,5,84,fold_3
bear,Return_3D,0.6347107438016529,0.18381696232097314,5,85,fold_3
bear,Body_W,0.6462809917355372,0.13318355542570143,5,86,fold_3
bear,Change_pct_D_lag2,0.6462809917355372,0.1670771077100943,5,87,fold_3
bear,Up_Ratio_10,0.6462809917355372,0.2615673103121243,5,88,fold_3
bear,Body_abs_D,0.6578512396694215,0.2532892691419064,5,89,fold_3
bear,Volume_MA_5,0.6661157024793388,0.2029931076716023,5,90,fold_3
bear,Change_pct_D_lag10,0.6727272727272727,0.21058979950808165,5,91,fold_3
bear,Return_5D,0.6727272727272727,0.20274059717745224,5,92,fold_3
bear,Return_1D,0.6776859504132231,0.23773801427508304,5,93,fold_3
bear,Change_pct_W,0.6793388429752066,0.27654478226360907,5,94,fold_3
bear,Ratio_Close_D_to_W,0.687603305785124,0.23385655297870359,5,95,fold_3
bear,Close_to_SMA_10,0.6975206611570248,0.11623255201156471,5,96,fold_3
bear,MACD_Histogram,0.7107438016528926,0.08528829520888553,5,97,fold_3
bear,Ratio_Close_D_to_M,0.7173553719008264,0.24019605861605542,5,98,fold_3
bear,ROC_10,0.7206611570247934,0.14042292710376605,5,99,fold_3
bear,Volume_M,0.7223140495867769,0.10800865621622834,5,100,fold_3
bear,Volume_MA_20,0.7256198347107439,0.1813856613542963,5,101,fold_3
bear,Body_D,0.7289256198347107,0.20128675607763166,5,102,fold_3
bear,Volume_Ratio_5,0.7520661157024794,0.17482806447360474,5,103,fold_3
bear,Change_pct_D_lag3,0.7553719008264463,0.15567054119631207,5,104,fold_3
bear,Change_pct_D_lag20,0.7603305785123966,0.15092547411363366,5,105,fold_3
bear,VMD_IMF_4,0.7867768595041322,0.24309324169582733,5,106,fold_3
bear,VMD_IMF_3,0.7884297520661157,0.12983363230846595,5,107,fold_3
bear,Volume_D_lag1,0.7933884297520661,0.09459110034925287,5,108,fold_3
bear,Spread_D,0.7966942148760331,0.09214042136971065,5,109,fold_3
bear,Upper_Shadow_D,0.8082644628099173,0.13445953355382953,5,110,fold_3
bear,Volume_D_lag3,0.8181818181818181,0.18927243786113696,5,111,fold_3
bear,Volume_Change_1D,0.8297520661157025,0.0873847265314797,5,112,fold_3
bear,Volume_Change_5D,0.8396694214876034,0.186234860494587,5,113,fold_3
bear,Volume_D_lag2,0.8561983471074381,0.10013309904701462,5,114,fold_3
bear,Volume_D_lag5,0.8561983471074381,0.15860449413902358,5,115,fold_3
bear,Volume_Change_20D,0.8727272727272727,0.10496193136103488,5,116,fold_3
bear,Volume_D,0.887603305785124,0.10973389275008064,5,117,fold_3
bear,Volume_Ratio_20,0.9140495867768597,0.10926607524653494,5,118,fold_3
bear,Ratio_Volume_D_to_W,0.9388429752066116,0.03486780679294049,5,119,fold_3
bear,Volume_D_lag10,0.9404958677685951,0.1057399180268559,5,120,fold_3
bear,Volume_D_lag20,0.9504132231404959,0.03920178917564105,5,121,fold_3
bear,Lower_Shadow_D,0.9834710743801652,0.019381883305055483,5,122,fold_3
bull,Close_D,0.0,0.0,5,1,fold_3
bull,WMA_60,0.02809917355371901,0.025871860896691783,5,2,fold_3
bull,VMD_Noise_Energy_Ratio,0.0743801652892562,0.14783920512395302,5,3,fold_3
bull,Close_D_lag1,0.16363636363636364,0.09941430832195419,5,4,fold_3
bull,Low_W,0.17024793388429754,0.10030348048561172,5,5,fold_3
bull,SMA_60,0.18016528925619837,0.3428706402383207,5,6,fold_3
bull,Close_M_lag3,0.19008264462809915,0.13145432826931294,5,7,fold_3
bull,Low_D,0.19834710743801653,0.11962078368702583,5,8,fold_3
bull,High_M,0.20661157024793386,0.10239265862284187,5,9,fold_3
bull,Close_D_lag2,0.2165289256198347,0.03980692422741255,5,10,fold_3
bull,Spread_M,0.228099173553719,0.2561050216585136,5,11,fold_3
bull,Close_W_lag2,0.2512396694214876,0.24338807896816264,5,12,fold_3
bull,Volatility_60,0.256198347107438,0.27466131170055974,5,13,fold_3
bull,Direction_lag1,0.2628099173553719,0.18176182447370098,5,14,fold_3
bull,Close_M_lag1,0.2644628099173554,0.2004025727765643,5,15,fold_3
bull,VMD_Denoised_Close,0.26611570247933886,0.21806282755783074,5,16,fold_3
bull,SMA_10,0.26776859504132233,0.302901299863817,5,17,fold_3
bull,Close_W_lag1,0.26942148760330575,0.21212478978056962,5,18,fold_3
bull,Close_D_lag5,0.2743801652892562,0.13993568438863824,5,19,fold_3
bull,WMA_5,0.28264462809917357,0.3183374096340478,5,20,fold_3
bull,Body_M,0.29421487603305785,0.2869209155414641,5,21,fold_3
bull,Close_W_lag4,0.30082644628099175,0.26125377431652835,5,22,fold_3
bull,Close_D_lag20,0.3041322314049587,0.14660979994645232,5,23,fold_3
bull,WMA_10,0.3041322314049587,0.25374727276813286,5,24,fold_3
bull,WMA_20,0.3041322314049587,0.1591204222919961,5,25,fold_3
bull,Low_M,0.30578512396694213,0.20784754280924447,5,26,fold_3
bull,StochD_3,0.3074380165289256,0.1333117028193667,5,27,fold_3
bull,SMA_5,0.31239669421487604,0.35534307013552496,5,28,fold_3
bull,SMA_20,0.3305785123966942,0.22413308466645648,5,29,fold_3
bull,High_D,0.3322314049586777,0.25049639946392255,5,30,fold_3
bull,Volume_MA_5,0.33719008264462813,0.3446588170308328,5,31,fold_3
bull,Change_pct_M,0.33884297520661155,0.19160368792346494,5,32,fold_3
bull,Close_D_lag60,0.3404958677685951,0.13483997249264842,5,33,fold_3
bull,Return_60D,0.3421487603305785,0.2133288225509499,5,34,fold_3
bull,Volatility_20,0.343801652892562,0.16306352693770057,5,35,fold_3
bull,Open_W,0.34710743801652894,0.2040335024070828,5,36,fold_3
bull,Open_M,0.35041322314049583,0.29766984322317674,5,37,fold_3
bull,Open_D,0.3603305785123967,0.3664709207132728,5,38,fold_3
bull,Close_W,0.36528925619834707,0.3508943368004979,5,39,fold_3
bull,Close_M,0.3669421487603306,0.28958658817307714,5,40,fold_3
bull,High_W,0.368595041322314,0.28005434308285787,5,41,fold_3
bull,Volume_MA_20,0.3801652892561983,0.1835008538113596,5,42,fold_3
bull,Direction_lag3,0.3834710743801653,0.15752421665703664,5,43,fold_3
bull,ROC_60,0.3884297520661157,0.2879545684327991,5,44,fold_3
bull,MACD_12_26,0.3900826446280992,0.2983459627733816,5,45,fold_3
bull,Volatility_10,0.3933884297520661,0.28650402626450855,5,46,fold_3
bull,Volatility_5,0.3933884297520661,0.20624761331985542,5,47,fold_3
bull,Direction_lag2,0.39669421487603307,0.2155900406734807,5,48,fold_3
bull,Volume_W,0.4,0.2253184194363295,5,49,fold_3
bull,MACD_Signal_9,0.40826446280991735,0.19658306464330974,5,50,fold_3
bull,ADX_14,0.41652892561983473,0.3158171225360672,5,51,fold_3
bull,ROC_5,0.4380165289256198,0.16173872554364402,5,52,fold_3
bull,Momentum_60,0.43966942148760335,0.18157384032528467,5,53,fold_3
bull,ROC_20,0.4413223140495868,0.2424038934610107,5,54,fold_3
bull,Close_D_lag3,0.44958677685950416,0.28218027682043967,5,55,fold_3
bull,Direction_lag5,0.45123966942148763,0.28296584135271036,5,56,fold_3
bull,Return_20D,0.4545454545454545,0.2999783704608518,5,57,fold_3
bull,Ratio_Close_D_to_M,0.46115702479338844,0.18876655415193588,5,58,fold_3
bull,StochK_14,0.46115702479338844,0.3372467947770469,5,59,fold_3
bull,VMD_IMF_2,0.4793388429752066,0.20603224565814726,5,60,fold_3
bull,MACD_Histogram,0.487603305785124,0.11962078368702588,5,61,fold_3
bull,Close_to_SMA_20,0.48925619834710743,0.20128675607763166,5,62,fold_3
bull,VMD_IMF_1,0.4909090909090909,0.33507275596937197,5,63,fold_3
bull,Momentum_20,0.49421487603305786,0.21876643439392274,5,64,fold_3
bull,Volume_D_lag1,0.5107438016528926,0.2671224731878412,5,65,fold_3
bull,Close_Position_D,0.512396694214876,0.24264327695707769,5,66,fold_3
bull,Close_to_SMA_5,0.515702479338843,0.14686580582432707,5,67,fold_3
bull,VMD_IMF_3,0.515702479338843,0.1487144098086026,5,68,fold_3
bull,WilliamsR_14,0.5190082644628099,0.30091044145683515,5,69,fold_3
