feature_index,feature,cnn_shap_importance,lstm_shap_importance,selected_cnn,selected_lstm
94,Direction_lag5,0.0004782906427184486,0.004114443431478776,False,False
95,Up_Ratio_5,0.0005925926284781946,0.004956692680366359,True,False
96,Up_Ratio_10,0.00031071020185825387,0.004681187155262024,False,False
97,Up_Ratio_20,0.000981472720630494,0.010156632503276341,True,True
98,Down_Ratio_5,0.0002696012273725734,0.0029335659831929207,False,False
99,Down_Ratio_10,0.0005973682751559295,0.004230671640210915,True,False
100,Down_Ratio_20,0.00046742043950058764,0.004738326911358115,False,False
101,WMA_5,0.0005667959147738433,0.003892707980371313,True,False
102,WMA_10,0.0002853231792470101,0.003376788308862899,False,False
103,WMA_20,0.0004980375819306105,0.0035692957569089857,False,False
104,WMA_60,0.00042159199602808116,0.002930482837328441,False,False
105,StochK_14,0.000406174722353736,0.014648228303576616,False,True
106,StochD_3,0.00024093994737464097,0.004684304494963954,False,False
