model,fold,test_year,arm,base_seed,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
pit_dern,fold_3,2024,Global-Numeric-News,123,244,19.17149524700693,15.473982470966233,1.7976538344716355,0.8104680615744686,0.5286885245901639,0.5381586917019988,0.085829443029675,1.0,244,0,0,39,88,27,90,0.7295081967213115
pit_dern,fold_3,2024,Regime-SHAP-Numeric,123,244,24.43345115870281,19.71486070466959,2.2993920181803245,0.6921493603303703,0.5491803278688525,0.5558247526751464,0.1177333794956619,1.0,244,0,0,50,77,33,84,0.6598360655737705
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,123,244,23.745004119715727,18.96730323178328,2.2042747393653315,0.7092532087722334,0.5040983606557377,0.5111716804630191,0.0237780576042973,1.0,244,0,0,43,84,37,80,0.6721311475409836
pit_dern,fold_3,2024,Global-Numeric,2025,244,24.266174490985915,19.21677806457086,2.2259909412802075,0.6963501546994131,0.4713114754098361,0.4753011642775422,-0.0503398367512618,1.0,244,0,0,48,79,50,67,0.5983606557377049
pit_dern,fold_3,2024,Global-Numeric-News,2025,244,25.86106574439039,20.555718757127924,2.384410734723941,0.6551237650828422,0.4836065573770491,0.4827377347062386,-0.0345245305875227,1.0,244,0,0,64,63,63,54,0.4795081967213114
pit_dern,fold_3,2024,Regime-SHAP-Numeric,2025,244,24.090309597096716,19.0419121731894,2.206670903949428,0.7007355051250869,0.5204918032786885,0.5289386903560132,0.063397654132044,1.0,244,0,0,41,86,31,86,0.7049180327868853
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,2025,244,26.713674335564647,21.291236831788776,2.4649333056291303,0.6320085855657345,0.5,0.5042062049936066,0.0085875778500484,1.0,244,0,0,51,76,46,71,0.6024590163934426
pit_dern,fold_3,2024,Global-Numeric,42,244,23.96708882299414,19.358892459800277,2.24918701925898,0.7037891225229974,0.4959016393442623,0.5022881755165219,0.0048118766622207,1.0,244,0,0,44,83,40,77,0.6557377049180327
pit_dern,fold_3,2024,Global-Numeric-News,42,244,21.21886742786334,16.881326637048765,1.952665836991564,0.76782533333674,0.4795081967213114,0.4814926980281311,-0.0371637180351908,1.0,244,0,0,55,72,55,62,0.5491803278688525
pit_dern,fold_3,2024,Regime-SHAP-Numeric,42,244,21.56549252612904,15.70045159053462,1.8189239435855695,0.7601779039249633,0.5204918032786885,0.5275927047580591,0.0587289374563969,1.0,244,0,0,45,82,35,82,0.6721311475409836
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,42,244,21.88099205128533,17.815723035293754,2.067369264141817,0.7531094605441288,0.5081967213114754,0.5134262063395922,0.0277403344466214,1.0,244,0,0,49,78,42,75,0.6270491803278688
pit_dern,fold_3,2024,Global-Numeric,456,244,27.82414310825448,21.94566552979695,2.5491835493366346,0.6007784020623661,0.4959016393442623,0.5012786863180564,0.0026479342076392,1.0,244,0,0,47,80,43,74,0.6311475409836066
