model,contrast,metric,outer_folds,mean_delta,std_delta,ci95_lower,ci95_upper,positive_folds,negative_folds,zero_folds,exact_sign_flip_pvalue,holm_adjusted_pvalue,holm_family_size,minimum_attainable_nonzero_pvalue
lstm_cnn,global_news_effect,balanced_accuracy_delta_pp,4,-0.17245471305053772,1.0415850250422292,-1.8298489203430672,1.4849394942419916,2,2,0,0.75,1.0,5,0.125
lstm_cnn,global_news_effect,direction_accuracy_delta_pp,4,-0.11816331954186132,1.1495931778328266,-1.9474226002288981,1.7110959611451753,2,2,0,0.875,1.0,5,0.125
lstm_cnn,global_news_effect,mcc_delta,4,-0.005307471081855369,0.022334483215538208,-0.04084661787671685,0.030231675713006105,2,2,0,0.75,1.0,5,0.125
lstm_cnn,global_news_effect,rmse_delta,4,0.39112292591942754,1.897503431819114,-2.6282284670090466,3.4104743188479016,2,2,0,0.875,1.0,5,0.125
lstm_cnn,global_news_effect,mae_delta,4,0.16555195910322862,1.3673472499650317,-2.010202642742678,2.341306560949135,1,3,0,1.0,1.0,5,0.125
lstm_cnn_attention,global_news_effect,balanced_accuracy_delta_pp,4,-1.2240104739193485,1.6687733013009316,-3.8794011874604344,1.4313802396217374,1,3,0,0.25,1.0,5,0.125
lstm_cnn_attention,global_news_effect,direction_accuracy_delta_pp,4,-1.3424179314641294,1.6135258543295503,-3.9098976282599853,1.2250617653317264,0,3,1,0.25,1.0,5,0.125
lstm_cnn_attention,global_news_effect,mcc_delta,4,-0.026910157427460907,0.03583980509753223,-0.08393928508483567,0.030118970229913857,1,3,0,0.25,1.0,5,0.125
lstm_cnn_attention,global_news_effect,rmse_delta,4,0.2094514996512329,0.6891019850328646,-0.8870635334647128,1.3059665327671786,2,2,0,0.75,1.0,5,0.125
lstm_cnn_attention,global_news_effect,mae_delta,4,0.00011948938224737304,0.7537115856017829,-1.1992038360419213,1.199442814806416,2,2,0,1.0,1.0,5,0.125
cnn,regime_shap_effect_without_news,balanced_accuracy_delta_pp,4,1.4865937217794696,3.6664011475891396,-4.347468671138049,7.320656114696989,3,1,0,0.375,1.0,5,0.125
cnn,regime_shap_effect_without_news,direction_accuracy_delta_pp,4,1.873193560041547,3.7788938237573637,-4.139869783697525,7.886256903780619,2,1,1,0.5,1.0,5,0.125
cnn,regime_shap_effect_without_news,mcc_delta,4,0.025502531612067485,0.08872048869536318,-0.11567156411371889,0.16667662733785385,3,1,0,0.625,1.0,5,0.125
cnn,regime_shap_effect_without_news,rmse_delta,4,-5.352084200282845,4.8326224616911535,-13.04186494930422,2.3376965487385304,0,4,0,0.125,0.625,5,0.125
cnn,regime_shap_effect_without_news,mae_delta,4,-5.210811678163506,4.205734453976306,-11.903073715195317,1.4814503588683046,0,4,0,0.125,0.625,5,0.125
lstm,regime_shap_effect_without_news,balanced_accuracy_delta_pp,4,0.032049166627361125,4.95052236653085,-7.8453366406692435,7.909434973923966,2,2,0,1.0,1.0,5,0.125
lstm,regime_shap_effect_without_news,direction_accuracy_delta_pp,4,1.0536596620799297,5.7541111033990395,-8.102415148523782,10.209734472683643,3,1,0,0.75,1.0,5,0.125
lstm,regime_shap_effect_without_news,mcc_delta,4,-0.008280823520842952,0.11761564097006381,-0.19543355454525294,0.17887190750356705,2,2,0,0.875,1.0,5,0.125
lstm,regime_shap_effect_without_news,rmse_delta,4,1.29571752856695,5.507809078145337,-7.468435796910425,10.059870854044325,3,1,0,0.625,1.0,5,0.125
lstm,regime_shap_effect_without_news,mae_delta,4,0.6705593660457412,4.249274433123633,-6.0909844938708515,7.432103225962334,3,1,0,0.625,0.75,5,0.125
lstm_attention,regime_shap_effect_without_news,balanced_accuracy_delta_pp,4,-2.028276470156841,4.227890341276241,-8.755793468027639,4.6992405277139575,2,2,0,0.5,1.0,5,0.125
lstm_attention,regime_shap_effect_without_news,direction_accuracy_delta_pp,4,-0.4678849569870428,6.027422652346676,-10.058859432160718,9.123089518186633,2,2,0,1.0,1.0,5,0.125
lstm_attention,regime_shap_effect_without_news,mcc_delta,4,-0.05576249148691484,0.07986279850660707,-0.18284202550542145,0.07131704253159177,1,3,0,0.375,1.0,5,0.125
lstm_attention,regime_shap_effect_without_news,rmse_delta,4,-10.412217220239917,8.697233568375298,-24.251456638175032,3.427022197695198,0,4,0,0.125,0.625,5,0.125
lstm_attention,regime_shap_effect_without_news,mae_delta,4,-9.446920405982409,6.809948047755823,-20.28306740786156,1.389226595896739,0,4,0,0.125,0.625,5,0.125
lstm_cnn,regime_shap_effect_without_news,balanced_accuracy_delta_pp,4,0.2973540549125797,3.6906947443177653,-5.57536487158048,6.17007298140564,2,2,0,1.0,1.0,5,0.125
lstm_cnn,regime_shap_effect_without_news,direction_accuracy_delta_pp,4,0.39515439850760226,3.9210795758309573,-5.844158205906805,6.63446700292201,2,2,0,0.875,1.0,5,0.125
lstm_cnn,regime_shap_effect_without_news,mcc_delta,4,0.00534583242715957,0.0733609803679316,-0.11138785803481806,0.12207952288913719,2,2,0,1.0,1.0,5,0.125
lstm_cnn,regime_shap_effect_without_news,rmse_delta,4,-5.595532537775213,9.018086758866014,-19.945320981018252,8.754255905467826,1,3,0,0.375,1.0,5,0.125
lstm_cnn,regime_shap_effect_without_news,mae_delta,4,-4.412584306302952,5.942082012400055,-13.867762779332269,5.042594166726365,1,3,0,0.375,0.75,5,0.125
lstm_cnn_attention,regime_shap_effect_without_news,balanced_accuracy_delta_pp,4,0.9376118145122235,3.6690950468735433,-4.900737173317525,6.775960802341972,2,2,0,0.75,1.0,5,0.125
lstm_cnn_attention,regime_shap_effect_without_news,direction_accuracy_delta_pp,4,1.2444428088057027,4.529029490916926,-5.962253776140316,8.45113939375172,2,2,0,0.625,1.0,5,0.125
