model,fold,test_year,arm,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm_attention,fold_4,2025,Global-Numeric-Random-Features,5,234,23.255377620667215,18.283424706382636,2.3522097958324415,0.7912312456296768,0.5,0.5028508771929825,0.005846054221936677,1.0,234,0,0,47,73,44,70,0.6111111111111112
lstm_cnn_attention,fold_1,2022,News-Only,5,241,57.33897406062322,52.53964605013862,5.2992925464988145,-5.637260517317149,0.45,0.5037593984962406,0.05801858302055766,1.0,240,1,0,107,0,132,1,0.004166666666666667
lstm_cnn_attention,fold_1,2022,Global-Numeric-Shuffled-News,5,241,36.9100952599249,30.335783971977428,3.08207776335878,-1.7502955133719147,0.4708333333333333,0.4714004637762631,-0.05687033369848148,1.0,240,1,0,51,56,71,62,0.49166666666666664
lstm_cnn_attention,fold_1,2022,Global-Numeric-Lagged-News,5,241,37.05457306375547,29.379695938501122,2.9877759164722644,-1.7718687086052651,0.49583333333333335,0.49212985735366455,-0.01568253671119514,1.0,240,1,0,49,58,63,70,0.5333333333333333
lstm_cnn_attention,fold_1,2022,Global-Numeric-Random-Features,5,241,35.535234634593046,28.64843151643762,2.9106842424511155,-1.5492205042714162,0.4791666666666667,0.47891926076874425,-0.04191334237771201,1.0,240,1,0,51,56,69,64,0.5
lstm_cnn_attention,fold_2,2023,News-Only,5,243,46.787166460995856,36.45415040316993,3.994635392177754,-0.10571512374784509,0.5041322314049587,0.5077439692982456,0.015582195247806881,1.0,242,1,0,57,71,49,65,0.5619834710743802
lstm_cnn_attention,fold_2,2023,Global-Numeric-Shuffled-News,5,243,29.065290280682603,24.082326027442374,2.603399971157349,0.5732838391821096,0.5206611570247934,0.5320038377192983,0.06934560875759532,1.0,242,1,0,43,85,31,83,0.6942148760330579
lstm_cnn_attention,fold_2,2023,Global-Numeric-Lagged-News,5,243,29.61352447029947,24.318013216079493,2.6297588994568066,0.557034443631699,0.5206611570247934,0.5286458333333333,0.05944935820070887,1.0,242,1,0,50,78,38,76,0.6363636363636364
lstm_cnn_attention,fold_2,2023,Global-Numeric-Random-Features,5,243,30.72668013597339,25.287590755217344,2.7396117083560294,0.5231068981641245,0.5082644628099173,0.5217242324561404,0.04893150074166397,1.0,242,1,0,37,91,28,86,0.731404958677686
lstm_cnn_attention,fold_3,2024,News-Only,5,244,91.5366407732291,79.37208303330274,9.448214880346757,-3.3207622810401487,0.5163934426229508,0.531731610471768,0.0952020395954842,1.0,244,0,0,20,107,11,106,0.8729508196721312
lstm_cnn_attention,fold_3,2024,Global-Numeric-Shuffled-News,5,244,34.73134636932522,27.697690943799042,3.294321750112298,0.37796664937865665,0.5737704918032787,0.5848307423110573,0.2003179297607053,1.0,244,0,0,40,87,17,100,0.7663934426229508
