model,contrast,metric,outer_folds,mean_delta,std_delta,ci95_lower,ci95_upper,positive_folds,negative_folds,zero_folds,exact_sign_flip_pvalue,exact_sign_flip_pvalue_holm,minimum_attainable_nonzero_pvalue
lstm_cnn_attention,news_only_vs_market,mae_delta,4,38.558328897437946,24.889045396372918,-1.0456963844247866,78.16235417930068,4,0,0,0.125,0.625,0.125
lstm,shuffled_vs_market,balanced_accuracy_delta_pp,4,1.6566461691988486,3.027111088532589,-3.1601630804930916,6.473455418890788,3,1,0,0.375,1.0,0.125
lstm,shuffled_vs_market,direction_accuracy_delta_pp,4,3.150192455334036,2.2366309514100107,-0.4087864984649503,6.709171409133022,4,0,0,0.125,0.625,0.125
lstm,shuffled_vs_market,mcc_delta,4,0.025694592802772497,0.07085923998650265,-0.08705827044235595,0.13844745604790096,3,1,0,0.5,1.0,0.125
lstm,shuffled_vs_market,rmse_delta,4,-1.8347610757169517,4.610169508176563,-9.170569534731007,5.501047383297104,1,3,0,0.625,1.0,0.125
lstm,shuffled_vs_market,mae_delta,4,-1.4369125876861233,3.9518564324403216,-7.725198038901802,4.851372863529555,1,3,0,0.625,1.0,0.125
cnn,shuffled_vs_market,balanced_accuracy_delta_pp,4,1.706377501564238,1.9253192683541192,-1.3572350944683111,4.7699900975967875,3,1,0,0.25,1.0,0.125
cnn,shuffled_vs_market,direction_accuracy_delta_pp,4,1.762793010930118,2.3724712260020087,-2.0123381328608825,5.537924154721118,3,1,0,0.25,1.0,0.125
cnn,shuffled_vs_market,mcc_delta,4,0.033786412841219665,0.038164901581972,-0.0269424621743119,0.09451528785675123,3,1,0,0.25,1.0,0.125
cnn,shuffled_vs_market,rmse_delta,4,-0.17695807709682843,1.5258720122559402,-2.604960950966695,2.251044796773038,1,3,0,0.625,1.0,0.125
cnn,shuffled_vs_market,mae_delta,4,-0.4585364306804891,0.9204187564070629,-1.9231280660012304,1.0060552046402522,1,3,0,0.375,1.0,0.125
lstm_cnn,shuffled_vs_market,balanced_accuracy_delta_pp,4,-1.192248067722601,0.9093883539611819,-2.639287871288499,0.25479173584329695,0,4,0,0.125,0.625,0.125
lstm_cnn,shuffled_vs_market,direction_accuracy_delta_pp,4,-1.5539476358217035,1.60975671517794,-4.11542979113354,1.007534519490133,0,3,1,0.25,1.0,0.125
lstm_cnn,shuffled_vs_market,mcc_delta,4,-0.023111028884408195,0.016317396858346912,-0.04907564855625525,0.0028535907874388602,0,4,0,0.125,0.625,0.125
lstm_cnn,shuffled_vs_market,rmse_delta,4,-0.17940195521414903,4.018189422619707,-6.573237996187229,6.214434085758931,1,3,0,0.875,1.0,0.125
lstm_cnn,shuffled_vs_market,mae_delta,4,0.025523370732098094,3.3797880272219896,-5.352473589205268,5.403520330669465,1,3,0,1.0,1.0,0.125
lstm_attention,shuffled_vs_market,balanced_accuracy_delta_pp,4,-2.0225201477610812,2.250781638617946,-5.604016002671127,1.5589757071489645,1,3,0,0.25,1.0,0.125
lstm_attention,shuffled_vs_market,direction_accuracy_delta_pp,4,-1.145995811606837,1.5564824960012966,-3.622706795925882,1.3307151727122082,1,3,0,0.25,1.0,0.125
lstm_attention,shuffled_vs_market,mcc_delta,4,-0.052152430626137065,0.06392095513358882,-0.15386493437368476,0.049560073121410635,1,3,0,0.25,1.0,0.125
lstm_attention,shuffled_vs_market,rmse_delta,4,-8.83387277259292,8.11584748434406,-21.747997192991335,4.080251647805493,1,3,0,0.25,1.0,0.125
lstm_attention,shuffled_vs_market,mae_delta,4,-8.237645618836233,7.120700960154611,-19.568269849673328,3.092978612000863,0,4,0,0.125,0.625,0.125
lstm_cnn_attention,shuffled_vs_market,balanced_accuracy_delta_pp,4,0.5605243923469949,0.915648730136638,-0.8964770667335362,2.017525851427526,3,1,0,0.375,1.0,0.125
lstm_cnn_attention,shuffled_vs_market,direction_accuracy_delta_pp,4,0.31355158544055933,1.096129712414494,-1.4306353912520404,2.057738562133159,3,1,0,0.625,1.0,0.125
lstm_cnn_attention,shuffled_vs_market,mcc_delta,4,0.015823674665713897,0.02027444814228261,-0.016437496625322817,0.04808484595675061,3,1,0,0.25,1.0,0.125
lstm_cnn_attention,shuffled_vs_market,rmse_delta,4,0.789554176030622,0.6030174361592614,-0.16998112983272584,1.7490894818939697,4,0,0,0.125,0.625,0.125
lstm_cnn_attention,shuffled_vs_market,mae_delta,4,0.6216016300604386,0.7608518893640512,-0.589083512026938,1.832286772147815,3,1,0,0.25,1.0,0.125
