model,fold,test_year,quarter,balanced_accuracy_treatment,balanced_accuracy_control,contrast,balanced_accuracy_delta_pp
lstm_cnn,fold_4,2025,2025Q3,0.537037037037037,0.5185185185185185,observed_vs_random,1.851851851851849
lstm_cnn,fold_4,2025,2025Q4,0.5614285714285714,0.5635714285714286,observed_vs_random,-0.2142857142857224
lstm_cnn_attention,fold_1,2022,2022Q1,0.5953177257525084,0.5914158305462653,observed_vs_random,0.3901895206243067
lstm_cnn_attention,fold_1,2022,2022Q2,0.5052083333333333,0.484375,observed_vs_random,2.083333333333326
lstm_cnn_attention,fold_1,2022,2022Q3,0.3672936259143156,0.3824451410658307,observed_vs_random,-1.5151515151515138
lstm_cnn_attention,fold_1,2022,2022Q4,0.48237367802585196,0.48237367802585196,observed_vs_random,0.0
lstm_cnn_attention,fold_2,2023,2023Q1,0.4719334719334719,0.4890852390852391,observed_vs_random,-1.7151767151767194
lstm_cnn_attention,fold_2,2023,2023Q2,0.5254658385093167,0.5329192546583851,observed_vs_random,-0.7453416149068359
lstm_cnn_attention,fold_2,2023,2023Q3,0.4994775339602926,0.4973876698014629,observed_vs_random,0.2089864158829724
lstm_cnn_attention,fold_2,2023,2023Q4,0.48900462962962965,0.5086805555555556,observed_vs_random,-1.967592592592593
lstm_cnn_attention,fold_3,2024,2024Q1,0.5178571428571429,0.5107142857142857,observed_vs_random,0.7142857142857229
lstm_cnn_attention,fold_3,2024,2024Q2,0.5,0.5,observed_vs_random,0.0
lstm_cnn_attention,fold_3,2024,2024Q3,0.6112266112266113,0.6247401247401247,observed_vs_random,-1.3513513513513487
lstm_cnn_attention,fold_3,2024,2024Q4,0.5177777777777778,0.6105555555555555,observed_vs_random,-9.277777777777773
lstm_cnn_attention,fold_4,2025,2025Q1,0.4956756756756757,0.5227027027027027,observed_vs_random,-2.7027027027026973
lstm_cnn_attention,fold_4,2025,2025Q2,0.5,0.5,observed_vs_random,0.0
lstm_cnn_attention,fold_4,2025,2025Q3,0.5227513227513227,0.537037037037037,observed_vs_random,-1.4285714285714235
lstm_cnn_attention,fold_4,2025,2025Q4,0.5835714285714286,0.5814285714285714,observed_vs_random,0.2142857142857224
lstm,fold_1,2022,2022Q1,0.5,0.49108138238573024,news_only_vs_market,0.8918617614269764
lstm,fold_1,2022,2022Q2,0.5,0.5208333333333334,news_only_vs_market,-2.083333333333337
lstm,fold_1,2022,2022Q3,0.49582027168234066,0.5198537095088819,news_only_vs_market,-2.4033437826541215
lstm,fold_1,2022,2022Q4,0.5587544065804935,0.5323149236192715,news_only_vs_market,2.6439482961222005
lstm,fold_2,2023,2023Q1,0.6205821205821206,0.5285862785862786,news_only_vs_market,9.199584199584198
lstm,fold_2,2023,2023Q2,0.5118012422360249,0.4714285714285714,news_only_vs_market,4.037267080745344
lstm,fold_2,2023,2023Q3,0.48589341692789967,0.5329153605015674,news_only_vs_market,-4.702194357366773
lstm,fold_2,2023,2023Q4,0.5,0.5665509259259259,news_only_vs_market,-6.6550925925925934
lstm,fold_3,2024,2024Q1,0.5,0.5107142857142857,news_only_vs_market,-1.0714285714285676
lstm,fold_3,2024,2024Q2,0.5,0.5148148148148148,news_only_vs_market,-1.4814814814814836
lstm,fold_3,2024,2024Q3,0.5826403326403327,0.4864864864864865,news_only_vs_market,9.615384615384615
lstm,fold_3,2024,2024Q4,0.5794444444444444,0.5055555555555555,news_only_vs_market,7.388888888888889
lstm,fold_4,2025,2025Q1,0.507027027027027,0.5637837837837838,news_only_vs_market,-5.675675675675684
lstm,fold_4,2025,2025Q2,0.5,0.5030788177339901,news_only_vs_market,-0.30788177339901024
lstm,fold_4,2025,2025Q3,0.5,0.4111111111111111,news_only_vs_market,8.888888888888891
lstm,fold_4,2025,2025Q4,0.5178571428571429,0.46142857142857147,news_only_vs_market,5.642857142857144
cnn,fold_1,2022,2022Q1,0.5,0.5752508361204014,news_only_vs_market,-7.52508361204014
cnn,fold_1,2022,2022Q2,0.5,0.4739583333333333,news_only_vs_market,2.6041666666666687
cnn,fold_1,2022,2022Q3,0.5,0.4085684430512017,news_only_vs_market,9.143155694879828
cnn,fold_1,2022,2022Q4,0.390716803760282,0.4195064629847238,news_only_vs_market,-2.8789659224441824
